LOC111099045 rna-XM_022430381.1
LOC111100154 rna-XM_022431793.1
LOC111100165 rna-XM_022431809.1
LOC111100190 rna-XM_022431843.1
LOC111100198 rna-XM_022431864.1
LOC111100206 rna-XM_022431873.1
LOC111100219 rna-XM_022431907.1
LOC111100224 rna-XM_022431884.1
LOC111100231 rna-XM_022431897.1
LOC111100233 rna-XM_022431901.1
LOC111100241 rna-XR_002633961.1
LOC111100257 rna-XM_022431945.1
LOC111100277 rna-XM_022431970.1
LOC111100278 rna-XM_022431988.1
LOC111100288 rna-XM_022431985.1
LOC111100293 rna-XM_022432005.1
LOC111100304 rna-XM_022432028.1
LOC111100316 rna-XM_022432047.1
LOC111100324 rna-XM_022432059.1
LOC111100326 rna-XM_022432065.1
LOC111100329 rna-XM_022432073.1
LOC111100330 rna-XM_022432079.1
LOC111100336 rna-XM_022432091.1
LOC111100339 rna-XM_022432100.1
LOC111100344 rna-XM_022432103.1
LOC111100347 rna-XM_022432111.1
LOC111100350 rna-XM_022432118.1
LOC111100362 rna-XM_022432130.1
LOC111100366 rna-XM_022432139.1
LOC111100371 rna-XM_022432146.1
LOC111100375 rna-XM_022432158.1
LOC111100380 rna-XM_022432168.1
LOC111100382 rna-XM_022432173.1
LOC111100385 rna-XM_022432314.1
LOC111100389 rna-XM_022432191.1
LOC111100392 rna-XM_022432268.1
LOC111100393 rna-XM_022432199.1
LOC111100394 rna-XM_022432209.1
LOC111100396 rna-XM_022432213.1
LOC111100398 rna-XM_022432214.1
LOC111100408 rna-XM_022432269.1
LOC111100414 rna-XM_022432283.1
LOC111100415 rna-XM_022432287.1
LOC111100418 rna-XM_022432290.1
LOC111100424 rna-XM_022432307.1
LOC111100425 rna-XR_002634019.1
LOC111100436 rna-XM_022432332.1
LOC111100440 rna-XM_022432335.1
LOC111100444 rna-XM_022432353.1
LOC111100465 rna-XM_022432365.1
LOC111100466 rna-XR_002634034.1
LOC111100471 rna-XM_022432394.1
LOC111100472 rna-XR_002634039.1
LOC111100476 rna-XM_022432405.1
LOC111100477 rna-XM_022432406.1
LOC111100506 rna-XM_022432456.1
LOC111100513 rna-XM_022432467.1
LOC111100522 rna-XM_022432478.1
LOC111100540 rna-XM_022432513.1
LOC111100549 rna-XM_022432542.1
LOC111100557 rna-XM_022432550.1
LOC111100560 rna-XM_022432557.1
LOC111100562 rna-XM_022432563.1
LOC111100564 rna-XM_022432566.1
LOC111100568 rna-XM_022432574.1
LOC111100570 rna-XM_022432581.1
LOC111100571 rna-XM_022432587.1
LOC111100577 rna-XM_022432597.1
LOC111100579 rna-XM_022432612.1
LOC111100580 rna-XM_022432616.1
LOC111100582 rna-XM_022432618.1
LOC111100584 rna-XM_022432628.1
LOC111100587 rna-XM_022432638.1
LOC111100602 rna-XM_022432658.1
LOC111100620 rna-XM_022432681.1
LOC111100621 rna-XM_022432683.1
LOC111100625 rna-XR_002634065.1
LOC111100632 rna-XM_022432711.1
LOC111100634 rna-XM_022432715.1
LOC111100635 rna-XR_002634066.1
LOC111100637 rna-XM_022432723.1
LOC111100638 rna-XM_022432719.1
LOC111100641 rna-XM_022432724.1
LOC111100644 rna-XM_022432730.1
LOC111100684 rna-XM_022432779.1
LOC111100752 rna-XM_022432846.1
LOC111100765 rna-XM_022432856.1
LOC111100788 rna-XM_022432878.1
LOC111100790 rna-XM_022432887.1
LOC111100791 rna-XM_022432892.1
LOC111100792 rna-XM_022432895.1
LOC111100801 rna-XM_022432916.1
LOC111100815 rna-XM_022432931.1
LOC111100816 rna-XM_022432947.1
LOC111100821 rna-XM_022432949.1
LOC111100830 rna-XR_002634093.1
LOC111100832 rna-XR_002634096.1
LOC111100838 rna-XR_002634103.1
LOC111100840 rna-XR_002634112.1
LOC111100852 rna-XM_022432964.1
LOC111100858 rna-XM_022432974.1
LOC111100872 rna-XM_022433004.1
LOC111100876 rna-XM_022433026.1
LOC111100878 rna-XM_022433019.1
LOC111100879 rna-XM_022433022.1
LOC111100887 rna-XM_022433033.1
LOC111100894 rna-XM_022433043.1
LOC111100896 rna-XM_022433051.1
LOC111100897 rna-XM_022433060.1
LOC111100898 rna-XM_022433066.1
LOC111100906 rna-XM_022433079.1
LOC111100912 rna-XR_002634133.1
LOC111100914 rna-XM_022433202.1
LOC111100915 rna-XM_022433092.1
LOC111100964 rna-XM_022433145.1
LOC111100973 rna-XM_022433153.1
LOC111100977 rna-XM_022433161.1
LOC111100984 rna-XM_022433175.1
LOC111100993 rna-XM_022433193.1
LOC111101001 rna-XR_002634162.1
LOC111101014 rna-XR_002634168.1
LOC111101021 rna-XM_022433230.1
LOC111101023 rna-XM_022433233.1
LOC111101026 rna-XM_022433237.1
LOC111101029 rna-XM_022433264.1
LOC111101031 rna-XM_022433251.1
LOC111101033 rna-XM_022433265.1
LOC111101035 rna-XM_022433268.1
LOC111101036 rna-XM_022433272.1
LOC111101048 rna-XR_002634174.1
LOC111101050 rna-XM_022433320.1
LOC111101055 rna-XM_022433318.1
LOC111101056 rna-XM_022433321.1
LOC111101060 rna-XM_022433333.1
LOC111101067 rna-XM_022433345.1
LOC111101076 rna-XM_022433356.1
LOC111101101 rna-XM_022433401.1
LOC111101102 rna-XM_022433406.1
LOC111101103 rna-XM_022433440.1
LOC111101110 rna-XM_022433418.1
LOC111101115 rna-XM_022433426.1
LOC111101117 rna-XM_022433432.1
LOC111101136 rna-XM_022433464.1
LOC111101137 rna-XM_022433466.1
LOC111101138 rna-XM_022433471.1
LOC111101148 rna-XM_022433489.1
LOC111101152 rna-XM_022433497.1
LOC111101163 rna-XM_022433514.1
LOC111101166 rna-XM_022433521.1
LOC111101185 rna-XM_022433557.1
LOC111101190 rna-XM_022433562.1
LOC111101201 rna-XM_022433579.1
LOC111101258 rna-XM_022433696.1
LOC111101270 rna-XR_002634225.1
LOC111101301 rna-XM_022433745.1
LOC111101312 rna-XR_002634253.1
LOC111101313 rna-XM_022433777.1
LOC111101329 rna-XM_022433778.1
LOC111101349 rna-XM_022433804.1
LOC111101360 rna-XR_002634264.1
LOC111101370 rna-XM_022433832.1
LOC111101381 rna-XM_022433850.1
LOC111101394 rna-XM_022433865.1
LOC111101405 rna-XM_022433891.1
LOC111101447 rna-XM_022433936.1
LOC111101449 rna-XM_022433950.1
LOC111101462 rna-XR_002634293.1
LOC111101489 rna-XM_022434000.1
LOC111101503 rna-XM_022434022.1
LOC111101518 rna-XM_022434041.1
LOC111101541 rna-XM_022434062.1
LOC111101550 rna-XM_022434083.1
LOC111101603 rna-XM_022434187.1
LOC111101612 rna-XM_022434157.1
LOC111101621 rna-XM_022434180.1
LOC111101629 rna-XR_002634343.1
LOC111101647 rna-XM_022434225.1
LOC111101652 rna-XM_022434235.1
LOC111101659 rna-XM_022434245.1
LOC111101675 rna-XR_002634360.1
LOC111101680 rna-XM_022434264.1
LOC111101736 rna-XM_022434325.1
LOC111101750 rna-XM_022434345.1
LOC111101751 rna-XM_022434353.1
LOC111101752 rna-XM_022434350.1
LOC111101763 rna-XM_022434363.1
LOC111101772 rna-XM_022434376.1
LOC111101786 rna-XM_022434390.1
LOC111101787 rna-XM_022434392.1
LOC111101792 rna-XM_022434397.1
LOC111101812 rna-XR_002634403.1
LOC111101814 rna-XM_022434423.1
LOC111101820 rna-XM_022434435.1
LOC111101822 rna-XM_022434443.1
LOC111101823 rna-XR_002634406.1
LOC111101848 rna-XM_022434479.1
LOC111101852 rna-XM_022434477.1
LOC111101853 rna-XR_002634415.1
LOC111101854 rna-XR_002634418.1
LOC111101867 rna-XM_022434502.1
LOC111101869 rna-XM_022434504.1
LOC111101871 rna-XR_002634428.1
LOC111101872 rna-XM_022434510.1
LOC111101896 rna-XM_022434550.1
LOC111102233 rna-XM_022434886.1
LOC111102235 rna-XM_022434893.1
LOC111102237 rna-XM_022434973.1
LOC111102238 rna-XM_022434897.1
LOC111102241 rna-XM_022434905.1
LOC111102255 rna-XR_002634443.1
LOC111102283 rna-XM_022434959.1
LOC111102299 rna-XM_022434985.1
LOC111102337 rna-XM_022435004.1
LOC111102353 rna-XM_022435028.1
LOC111102357 rna-XM_022435036.1
LOC111102361 rna-XM_022435043.1
LOC111102369 rna-XM_022435062.1
LOC111102374 rna-XM_022435070.1
LOC111102389 rna-XM_022435095.1
LOC111102426 rna-XM_022435131.1
LOC111102433 rna-XM_022435172.1
LOC111102435 rna-XM_022435179.1
LOC111102446 rna-XM_022435193.1
LOC111102463 rna-XM_022435214.1
LOC111102482 rna-XM_022435242.1
LOC111102485 rna-XM_022435252.1
LOC111102493 rna-XM_022435264.1
LOC111102496 rna-XM_022435280.1
LOC111102504 rna-XM_022435288.1
LOC111102513 rna-XM_022435301.1
LOC111102515 rna-XM_022435303.1
LOC111102521 rna-XM_022435309.1
LOC111102525 rna-XM_022435315.1
LOC111102526 rna-XM_022435318.1
LOC111102571 rna-XM_022435370.1
LOC111102582 rna-XM_022435384.1
LOC111102584 rna-XM_022435393.1
LOC111102594 rna-XM_022435408.1
LOC111102613 rna-XR_002634526.1
LOC111102665 rna-XM_022435506.1
LOC111102675 rna-XM_022435507.1
LOC111102677 rna-XM_022435516.1
LOC111102682 rna-XM_022435526.1
LOC111102697 rna-XM_022435543.1
LOC111102719 rna-XM_022435579.1
LOC111102721 rna-XM_022435584.1
LOC111102735 rna-XM_022435598.1
LOC111102736 rna-XM_022435601.1
LOC111102745 rna-XR_002634549.1
LOC111102747 rna-XR_002634555.1
LOC111102779 rna-XM_022435644.1
LOC111102801 rna-XM_022435669.1
LOC111102805 rna-XM_022435676.1
LOC111102809 rna-XM_022435682.1
LOC111102815 rna-XM_022435707.1
LOC111102817 rna-XM_022435698.1
LOC111102824 rna-XM_022435713.1
LOC111102828 rna-XM_022435720.1
LOC111102833 rna-XM_022435822.1
LOC111102836 rna-XM_022435734.1
LOC111102843 rna-XM_022435752.1
LOC111102850 rna-XM_022435765.1
LOC111102853 rna-XM_022435772.1
LOC111102865 rna-XM_022435783.1
LOC111102872 rna-XR_002634586.1
LOC111102889 rna-XM_022435821.1
LOC111102903 rna-XM_022435842.1
LOC111102907 rna-XM_022435848.1
LOC111102911 rna-XM_022435851.1
LOC111102918 rna-XR_002634602.1
LOC111102932 rna-XM_022435888.1
LOC111102946 rna-XR_002634607.1
LOC111102960 rna-XM_022435917.1
LOC111102967 rna-XM_022435924.1
LOC111102987 rna-XM_022435981.1
LOC111102989 rna-XM_022435956.1
LOC111103015 rna-XM_022435995.1
LOC111103021 rna-XM_022436017.1
LOC111103024 rna-XR_002634631.1
LOC111103027 rna-XM_022436024.1
LOC111103032 rna-XM_022436040.1
LOC111103061 rna-XM_022436059.1
LOC111103092 rna-XM_022436109.1
LOC111103096 rna-XM_022436121.1
LOC111103115 rna-XM_022436143.1
LOC111103135 rna-XM_022436176.1
LOC111103144 rna-XM_022436190.1
LOC111103148 rna-XM_022436193.1
LOC111103157 rna-XM_022436211.1
LOC111103169 rna-XM_022436229.1
LOC111103176 rna-XR_002634665.1
LOC111103223 rna-XM_022436304.1
LOC111103235 rna-XM_022436324.1
LOC111103244 rna-XM_022436333.1
LOC111103253 rna-XM_022436378.1
LOC111103274 rna-XM_022436421.1
LOC111103284 rna-XM_022436419.1
LOC111103287 rna-XM_022436423.1
LOC111103289 rna-XM_022436459.1
LOC111103291 rna-XM_022436460.1
LOC111103304 rna-XM_022436472.1
LOC111103305 rna-XM_022436481.1
LOC111103306 rna-XM_022436500.1
LOC111103311 rna-XM_022436489.1
LOC111103315 rna-XM_022436494.1
LOC111103316 rna-XM_022436501.1
LOC111103328 rna-XM_022436513.1
LOC111103337 rna-XM_022436522.1
LOC111103339 rna-XM_022436531.1
LOC111103342 rna-XM_022436537.1
LOC111103344 rna-XR_002634706.1
LOC111103345 rna-XR_002634719.1
LOC111103348 rna-XM_022436590.1
LOC111103356 rna-XM_022436556.1
LOC111103366 rna-XM_022436587.1
LOC111103370 rna-XM_022436594.1
LOC111103372 rna-XM_022436599.1
LOC111103375 rna-XM_022436608.1
LOC111103387 rna-XM_022436628.1
LOC111103389 rna-XM_022436632.1
LOC111103390 rna-XM_022436646.1
LOC111103393 rna-XM_022436638.1
LOC111103395 rna-XM_022436651.1
LOC111103396 rna-XM_022436654.1
LOC111103399 rna-XM_022436666.1
LOC111103401 rna-XR_002634743.1
LOC111103402 rna-XM_022436670.1
LOC111103407 rna-XM_022436685.1
LOC111103418 rna-XM_022436699.1
LOC111103430 rna-XM_022436713.1
LOC111103441 rna-XM_022436725.1
LOC111103443 rna-XR_002634761.1
LOC111103445 rna-XM_022436730.1
LOC111103480 rna-XM_022436775.1
LOC111103484 rna-XM_022436790.1
LOC111103485 rna-XM_022436794.1
LOC111103489 rna-XM_022436803.1
LOC111103494 rna-XM_022436811.1
LOC111103497 rna-XM_022436813.1
LOC111103499 rna-XM_022436817.1
LOC111103505 rna-XM_022436826.1
LOC111103510 rna-XR_002634775.1
LOC111103517 rna-XM_022436850.1
LOC111103539 rna-XM_022436876.1
LOC111103552 rna-XM_022436903.1
LOC111103553 rna-XM_022436892.1
LOC111103560 rna-XM_022436905.1
LOC111103562 rna-XR_002634785.1
LOC111103568 rna-XM_022436918.1
LOC111103575 rna-XM_022436934.1
LOC111103578 rna-XM_022436955.1
LOC111103581 rna-XR_002634788.1
LOC111103587 rna-XM_022436946.1
LOC111103588 rna-XM_022436952.1
LOC111103596 rna-XM_022436980.1
LOC111103625 rna-XM_022437016.1
LOC111103631 rna-XM_022437025.1
LOC111103646 rna-XM_022437053.1
LOC111103684 rna-XM_022437272.1
LOC111103697 rna-XM_022437135.1
LOC111103768 rna-XR_002634804.1
LOC111103783 rna-XM_022437249.1
LOC111103792 rna-XM_022437263.1
LOC111103795 rna-XM_022437275.1
LOC111103804 rna-XM_022437287.1
LOC111103809 rna-XM_022437296.1
LOC111103814 rna-XM_022437322.1
LOC111103819 rna-XM_022437329.1
LOC111103824 rna-XM_022437343.1
LOC111103825 rna-XM_022437355.1
LOC111103827 rna-XM_022437361.1
LOC111103829 rna-XM_022437364.1
LOC111103830 rna-XM_022437368.1
LOC111103835 rna-XM_022437375.1
LOC111103838 rna-XM_022437380.1
LOC111103846 rna-XR_002634809.1
LOC111103847 rna-XM_022437398.1
LOC111103856 rna-XM_022437409.1
LOC111103868 rna-XM_022437427.1
LOC111103872 rna-XM_022437438.1
LOC111103896 rna-XM_022437487.1
LOC111103902 rna-XR_002634816.1
LOC111103936 rna-XM_022437573.1
LOC111103940 rna-XM_022437578.1
LOC111103943 rna-XM_022437584.1
LOC111103945 rna-XM_022437591.1
LOC111103956 rna-XM_022437612.1
LOC111103959 rna-XR_002634825.1
LOC111103965 rna-XM_022437630.1
LOC111103993 rna-XM_022437667.1
LOC111103996 rna-XM_022437677.1
LOC111104009 rna-XM_022437820.1
LOC111104021 rna-XM_022437717.1
LOC111104027 rna-XM_022437727.1
LOC111104041 rna-XM_022437744.1
LOC111104055 rna-XM_022437769.1
LOC111104061 rna-XM_022437777.1
LOC111104082 rna-XM_022437814.1
LOC111104084 rna-XM_022437827.1
LOC111104098 rna-XM_022437845.1
LOC111104104 rna-XM_022437857.1
LOC111104108 rna-XM_022437861.1
LOC111104110 rna-XM_022437869.1
LOC111104112 rna-XM_022437873.1
LOC111104124 rna-XM_022437903.1
LOC111104129 rna-XM_022437915.1
LOC111104135 rna-XM_022437923.1
LOC111104136 rna-XM_022437928.1
LOC111104137 rna-XM_022437930.1
LOC111104154 rna-XM_022437953.1
LOC111104161 rna-XM_022437965.1
LOC111104169 rna-XM_022437975.1
LOC111104180 rna-XM_022437988.1
LOC111104190 rna-XM_022438003.1
LOC111104193 rna-XM_022438019.1
LOC111104196 rna-XM_022438028.1
LOC111104211 rna-XM_022438050.1
LOC111104221 rna-XR_002634850.1
LOC111104228 rna-XM_022438069.1
LOC111104243 rna-XR_002634858.1
LOC111104266 rna-XM_022438112.1
LOC111104269 rna-XM_022438121.1
LOC111104285 rna-XM_022438146.1
LOC111104302 rna-XR_002634870.1
LOC111104311 rna-XM_022438180.1
LOC111104313 rna-XM_022438186.1
LOC111104315 rna-XM_022438189.1
LOC111104326 rna-XM_022438213.1
LOC111104330 rna-XM_022438219.1
LOC111104342 rna-XM_022438236.1
LOC111104349 rna-XM_022438248.1
LOC111104359 rna-XM_022438263.1
LOC111104382 rna-XM_022438296.1
LOC111104386 rna-XR_002634879.1
LOC111104387 rna-XM_022438303.1
LOC111104395 rna-XM_022438315.1
LOC111104396 rna-XM_022438316.1
LOC111104401 rna-XM_022438328.1
LOC111104403 rna-XM_022438326.1
LOC111104406 rna-XR_002634885.1
LOC111104411 rna-XM_022438339.1
LOC111104416 rna-XM_022438345.1
LOC111104425 rna-XM_022438363.1
LOC111104428 rna-XM_022438367.1
LOC111104432 rna-XM_022438380.1
LOC111104433 rna-XM_022438388.1
LOC111104453 rna-XR_002634927.1
LOC111104461 rna-XM_022438434.1
LOC111104464 rna-XR_002634891.1
LOC111104474 rna-XM_022438451.1
LOC111104484 rna-XM_022438464.1
LOC111104515 rna-XM_022438507.1
LOC111104518 rna-XM_022438515.1
LOC111104537 rna-XR_002634908.1
LOC111104540 rna-XM_022438555.1
LOC111104590 rna-XR_002634919.1
LOC111104626 rna-XM_022438669.1
LOC111104627 rna-XM_022438657.1
LOC111104660 rna-XM_022438725.1
LOC111104663 rna-XM_022438734.1
LOC111104686 rna-XM_022438761.1
LOC111104688 rna-XR_002634942.1
LOC111104689 rna-XM_022438770.1
LOC111104697 rna-XM_022438791.1
LOC111104711 rna-XM_022438801.1
LOC111104721 rna-XM_022438820.1
LOC111104729 rna-XR_002634950.1
LOC111104734 rna-XR_002634954.1
LOC111104752 rna-XM_022438857.1
LOC111104753 rna-XM_022438862.1
LOC111104754 rna-XM_022438864.1
LOC111104759 rna-XM_022438869.1
LOC111104775 rna-XM_022438896.1
LOC111104783 rna-XM_022438909.1
LOC111104784 rna-XM_022438916.1
LOC111104789 rna-XM_022438924.1
LOC111104814 rna-XM_022438952.1
LOC111104820 rna-XM_022438960.1
LOC111104824 rna-XM_022438970.1
LOC111104827 rna-XM_022438972.1
LOC111104830 rna-XR_002634976.1
LOC111104834 rna-XM_022438983.1
LOC111104835 rna-XM_022439013.1
LOC111104839 rna-XM_022438991.1
LOC111104852 rna-XM_022439014.1
LOC111105035 rna-XM_022439216.1
LOC111105233 rna-XM_022439399.1
LOC111105249 rna-XM_022439427.1
LOC111105258 rna-XM_022439436.1
LOC111105262 rna-XM_022439443.1
LOC111105273 rna-XM_022439458.1
LOC111105280 rna-XM_022439476.1
LOC111105299 rna-XR_002635007.1
LOC111105304 rna-XM_022439519.1
LOC111105324 rna-XM_022439547.1
LOC111105328 rna-XM_022439558.1
LOC111105333 rna-XM_022439572.1
LOC111105363 rna-XR_002635019.1
LOC111105365 rna-XM_022439604.1
LOC111105367 rna-XM_022439624.1
LOC111105379 rna-XM_022439642.1
LOC111105385 rna-XM_022439661.1
LOC111105396 rna-XM_022439674.1
LOC111105405 rna-XM_022439685.1
LOC111105420 rna-XM_022439704.1
LOC111105431 rna-XM_022439723.1
LOC111105433 rna-XM_022439728.1
LOC111105434 rna-XM_022439730.1
LOC111105450 rna-XM_022439762.1
LOC111105464 rna-XM_022439777.1
LOC111105480 rna-XM_022439798.1
LOC111105509 rna-XM_022439843.1
LOC111105516 rna-XM_022439861.1
LOC111105527 rna-XM_022439874.1
LOC111105545 rna-XM_022439890.1
LOC111105555 rna-XM_022439912.1
LOC111105580 rna-XM_022439940.1
LOC111105591 rna-XM_022439951.1
LOC111105619 rna-XM_022439998.1
LOC111105624 rna-XM_022439994.1
LOC111105631 rna-XR_002635077.1
LOC111105636 rna-XR_002635078.1
LOC111105710 rna-XM_022440069.1
LOC111105716 rna-XM_022440074.1
LOC111105730 rna-XR_002635092.1
LOC111105733 rna-XM_022440106.1
LOC111105754 rna-XM_022440136.1
LOC111105755 rna-XM_022440147.1
LOC111105763 rna-XM_022440144.1
LOC111105770 rna-XM_022440155.1
LOC111105778 rna-XM_022440166.1
LOC111105788 rna-XM_022440175.1
LOC111105802 rna-XM_022440192.1
LOC111105807 rna-XR_002635175.1
LOC111105810 rna-XM_022440209.1
LOC111105812 rna-XM_022440213.1
LOC111105816 rna-XM_022440218.1
LOC111105824 rna-XR_002635120.1
LOC111105825 rna-XM_022440230.1
LOC111105828 rna-XM_022440234.1
LOC111105836 rna-XM_022440261.1
LOC111105840 rna-XM_022440278.1
LOC111105852 rna-XM_022440302.1
LOC111105856 rna-XM_022440309.1
LOC111105866 rna-XM_022440321.1
LOC111105880 rna-XM_022440339.1
LOC111105882 rna-XM_022440341.1
LOC111105916 rna-XM_022440397.1
LOC111105931 rna-XM_022440430.1
LOC111105939 rna-XM_022440443.1
LOC111105983 rna-XR_002635136.1
LOC111105989 rna-XR_002635138.1
LOC111106001 rna-XM_022440509.1
LOC111106007 rna-XM_022440517.1
LOC111106016 rna-XM_022440525.1
LOC111106026 rna-XR_002635157.1
LOC111106030 rna-XM_022440545.1
LOC111106044 rna-XM_022440563.1
LOC111106047 rna-XM_022440567.1
LOC111106051 rna-XM_022440573.1
LOC111106080 rna-XM_022440607.1
LOC111106097 rna-XM_022440623.1
LOC111106119 rna-XM_022440651.1
LOC111106170 rna-XM_022440723.1
LOC111106176 rna-XM_022440733.1
LOC111106199 rna-XM_022440768.1
LOC111106212 rna-XM_022440788.1
LOC111106214 rna-XM_022440792.1
LOC111106238 rna-XM_022440828.1
LOC111106242 rna-XM_022440845.1
LOC111106260 rna-XM_022440865.1
LOC111106267 rna-XM_022440877.1
LOC111106270 rna-XM_022440879.1
LOC111106273 rna-XM_022440884.1
LOC111106294 rna-XM_022440911.1
LOC111106301 rna-XM_022440924.1
LOC111106311 rna-XM_022440937.1
LOC111106333 rna-XM_022440967.1
LOC111106339 rna-XM_022440987.1
LOC111106355 rna-XM_022441011.1
LOC111106393 rna-XM_022441053.1
LOC111106420 rna-XM_022441089.1
LOC111106421 rna-XM_022441093.1
LOC111106425 rna-XM_022441098.1
LOC111106436 rna-XR_002635215.1
LOC111106438 rna-XM_022441109.1
LOC111106455 rna-XM_022441129.1
LOC111106457 rna-XM_022441138.1
LOC111106461 rna-XM_022441144.1
LOC111106471 rna-XM_022441166.1
LOC111106480 rna-XM_022441179.1
LOC111106483 rna-XM_022441183.1
LOC111106496 rna-XM_022441198.1
LOC111106508 rna-XM_022441217.1
LOC111106525 rna-XM_022441245.1
LOC111106539 rna-XM_022441262.1
LOC111106546 rna-XM_022441268.1
LOC111106619 rna-XM_022441354.1
LOC111106639 rna-XM_022441387.1
LOC111106653 rna-XM_022441405.1
LOC111106654 rna-XM_022441408.1
LOC111106656 rna-XM_022441419.1
LOC111106667 rna-XM_022441435.1
LOC111106698 rna-XM_022441476.1
LOC111106706 rna-XM_022441491.1
LOC111106711 rna-XM_022441499.1
LOC111106729 rna-XM_022441520.1
LOC111106731 rna-XM_022441523.1
LOC111106752 rna-XM_022441555.1
LOC111106754 rna-XM_022441566.1
LOC111106775 rna-XM_022441593.1
LOC111106800 rna-XM_022441618.1
LOC111106830 rna-XM_022441657.1
LOC111106837 rna-XM_022441681.1
LOC111106861 rna-XM_022441712.1
LOC111106871 rna-XM_022441734.1
LOC111106874 rna-XM_022441737.1
LOC111106926 rna-XM_022441808.1
LOC111106940 rna-XM_022441821.1
LOC111106944 rna-XM_022441824.1
LOC111106949 rna-XM_022441839.1
LOC111106955 rna-XM_022441850.1
LOC111106967 rna-XM_022441867.1
LOC111106980 rna-XM_022441886.1
LOC111106989 rna-XM_022441910.1
LOC111106992 rna-XM_022441915.1
LOC111107009 rna-XM_022441934.1
LOC111107014 rna-XM_022441940.1
LOC111107019 rna-XM_022441949.1
LOC111107029 rna-XM_022441968.1
LOC111107046 rna-XM_022441992.1
LOC111107058 rna-XM_022442009.1
