LOC111099035 rna-XM_022430345.1
LOC111101719 rna-XM_022434310.1
LOC111101752 rna-XM_022434350.1
LOC111101776 rna-XR_002634393.1
LOC111101808 rna-XM_022434413.1
LOC111101810 rna-XR_002634400.1
LOC111101811 rna-XR_002634401.1
LOC111101852 rna-XM_022434474.1
LOC111101883 rna-XM_022434529.1
LOC111101888 rna-XR_002634434.1
LOC111101893 rna-XM_022434543.1
LOC111102237 rna-XM_022434929.1
LOC111102278 rna-XM_022434950.1
LOC111102299 rna-XM_022434984.1
LOC111102338 rna-XM_022435006.1
LOC111102352 rna-XM_022435025.1
LOC111102388 rna-XR_002634471.1
LOC111102424 rna-XR_002634481.1
LOC111102446 rna-XM_022435191.1
LOC111102449 rna-XR_002634492.1
LOC111102453 rna-XM_022435201.1
LOC111102465 rna-XM_022435227.1
LOC111102493 rna-XM_022435264.1
LOC111102495 rna-XM_022435277.1
LOC111102496 rna-XM_022435279.1
LOC111102521 rna-XM_022435311.1
LOC111102536 rna-XM_022435329.1
LOC111102563 rna-XM_022435357.1
LOC111102582 rna-XM_022435385.1
LOC111102584 rna-XM_022435391.1
LOC111102597 rna-XM_022435412.1
LOC111102619 rna-XM_022435439.1
LOC111102675 rna-XM_022435510.1
LOC111102682 rna-XM_022435529.1
LOC111102692 rna-XR_002634539.1
LOC111102697 rna-XM_022435544.1
LOC111102714 rna-XM_022435577.1
LOC111102741 rna-XM_022435610.1
LOC111102745 rna-XR_002634552.1
LOC111102747 rna-XR_002634556.1
LOC111102781 rna-XM_022435649.1
LOC111102805 rna-XM_022435678.1
LOC111102809 rna-XM_022435681.1
LOC111102815 rna-XM_022435697.1
LOC111102824 rna-XM_022435712.1
LOC111102830 rna-XM_022435724.1
LOC111102833 rna-XM_022435792.1
LOC111102834 rna-XM_022435732.1
LOC111102853 rna-XM_022435772.1
LOC111102872 rna-XM_022435794.1
LOC111102899 rna-XM_022435835.1
LOC111102902 rna-XM_022435840.1
LOC111102911 rna-XM_022435852.1
LOC111102918 rna-XR_002634601.1
LOC111102936 rna-XM_022435891.1
LOC111102960 rna-XR_002634611.1
LOC111102962 rna-XR_002634798.1
LOC111102982 rna-XM_022435943.1
LOC111102989 rna-XM_022435955.1
LOC111103016 rna-XM_022436002.1
LOC111103018 rna-XM_022436006.1
LOC111103019 rna-XM_022436013.1
LOC111103020 rna-XM_022436015.1
LOC111103075 rna-XM_022436081.1
LOC111103090 rna-XM_022436104.1
LOC111103092 rna-XM_022436110.1
LOC111103116 rna-XM_022436267.1
LOC111103169 rna-XM_022436229.1
LOC111103176 rna-XM_022436241.1
LOC111103182 rna-XM_022436252.1
LOC111103207 rna-XM_022436279.1
LOC111103234 rna-XM_022436322.1
LOC111103236 rna-XM_022436327.1
LOC111103238 rna-XM_022436352.1
LOC111103240 rna-XM_022436330.1
LOC111103244 rna-XM_022436350.1
LOC111103274 rna-XM_022436431.1
LOC111103291 rna-XM_022436462.1
LOC111103305 rna-XM_022436479.1
LOC111103306 rna-XM_022436500.1
LOC111103316 rna-XM_022436498.1
LOC111103323 rna-XM_022436541.1
LOC111103337 rna-XM_022436524.1
LOC111103339 rna-XM_022436531.1
LOC111103342 rna-XM_022436537.1
LOC111103344 rna-XR_002634708.1
LOC111103345 rna-XR_002634734.1
LOC111103348 rna-XM_022436590.1
LOC111103357 rna-XM_022436569.1
LOC111103381 rna-XM_022436616.1
LOC111103390 rna-XM_022436646.1
LOC111103393 rna-XM_022436643.1
LOC111103401 rna-XM_022436674.1
LOC111103405 rna-XM_022436677.1
LOC111103427 rna-XM_022436704.1
LOC111103431 rna-XR_002634750.1
LOC111103443 rna-XR_002634758.1
LOC111103484 rna-XM_022436793.1
LOC111103517 rna-XM_022436850.1
LOC111103518 rna-XM_022436855.1
LOC111103530 rna-XM_022436870.1
LOC111103565 rna-XR_002634781.1
LOC111103578 rna-XM_022436945.1
LOC111103591 rna-XM_022436967.1
LOC111103596 rna-XM_022436976.1
LOC111103618 rna-XM_022437009.1
LOC111103646 rna-XM_022437048.1
LOC111103658 rna-XM_022437073.1
LOC111103664 rna-XM_022437084.1
LOC111103684 rna-XM_022437154.1
LOC111103692 rna-XM_022437125.1
LOC111103762 rna-XR_002634802.1
LOC111103783 rna-XM_022437251.1
LOC111103798 rna-XR_002634807.1
LOC111103809 rna-XM_022437299.1
LOC111103824 rna-XM_022437347.1
LOC111103825 rna-XM_022437358.1
LOC111103829 rna-XM_022437366.1
LOC111103830 rna-XM_022437368.1
LOC111103846 rna-XM_022437397.1
LOC111103848 rna-XM_022437402.1
LOC111103868 rna-XM_022437428.1
LOC111103901 rna-XM_022437503.1
LOC111103936 rna-XM_022437574.1
LOC111103937 rna-XM_022437579.1
LOC111103940 rna-XM_022437578.1
LOC111103959 rna-XM_022437616.1
LOC111103965 rna-XM_022437629.1
LOC111103989 rna-XM_022437662.1
LOC111104041 rna-XM_022437744.1
LOC111104055 rna-XM_022437766.1
LOC111104063 rna-XM_022437784.1
LOC111104066 rna-XM_022437798.1
LOC111104098 rna-XM_022437848.1
LOC111104107 rna-XM_022437859.1
LOC111104110 rna-XM_022437866.1
LOC111104124 rna-XM_022437899.1
LOC111104136 rna-XM_022437928.1
LOC111104154 rna-XM_022437953.1
LOC111104158 rna-XM_022437958.1
LOC111104159 rna-XM_022437960.1
LOC111104180 rna-XM_022437991.1
LOC111104183 rna-XM_022437994.1
LOC111104193 rna-XM_022438023.1
LOC111104211 rna-XM_022438049.1
LOC111104223 rna-XM_022438061.1
LOC111104266 rna-XM_022438113.1
LOC111104301 rna-XM_022438169.1
LOC111104340 rna-XM_022438232.1
LOC111104349 rna-XM_022438250.1
LOC111104406 rna-XM_022438330.1
LOC111104411 rna-XM_022438338.1
LOC111104424 rna-XM_022438359.1
LOC111104425 rna-XM_022438363.1
LOC111104428 rna-XM_022438368.1
LOC111104432 rna-XM_022438384.1
LOC111104433 rna-XM_022438388.1
LOC111104448 rna-XM_022438412.1
LOC111104451 rna-XM_022438417.1
LOC111104453 rna-XM_022438461.1
LOC111104461 rna-XM_022438434.1
LOC111104464 rna-XM_022438436.1
LOC111104474 rna-XM_022438450.1
LOC111104484 rna-XM_022438465.1
LOC111104497 rna-XR_002634896.1
LOC111104510 rna-XM_022438504.1
LOC111104515 rna-XM_022438511.1
LOC111104518 rna-XM_022438520.1
LOC111104526 rna-XM_022438527.1
LOC111104529 rna-XM_022438533.1
LOC111104537 rna-XR_002634909.1
LOC111104540 rna-XM_022438549.1
LOC111104557 rna-XM_022438574.1
LOC111104572 rna-XM_022438594.1
LOC111104590 rna-XR_002634919.1
LOC111104626 rna-XM_022438659.1
LOC111104627 rna-XM_022438658.1
LOC111104684 rna-XM_022438759.1
LOC111104686 rna-XR_002634941.1
LOC111104688 rna-XM_022438765.1
LOC111104697 rna-XM_022438791.1
LOC111104710 rna-XM_022438797.1
LOC111104711 rna-XM_022438805.1
LOC111104721 rna-XM_022438820.1
LOC111104725 rna-XR_002634948.1
LOC111104734 rna-XR_002634954.1
LOC111104738 rna-XR_002634956.1
LOC111104753 rna-XM_022438863.1
LOC111104754 rna-XR_002634960.1
LOC111104789 rna-XM_022438924.1
LOC111104794 rna-XM_022438931.1
LOC111104810 rna-XR_002634971.1
LOC111104827 rna-XM_022438973.1
LOC111104834 rna-XM_022438985.1
LOC111104842 rna-XR_002634979.1
LOC111104852 rna-XM_022439012.1
LOC111105066 rna-XM_022439242.1
LOC111105230 rna-XM_022439393.1
LOC111105243 rna-XM_022439413.1
LOC111105256 rna-XM_022439432.1
LOC111105272 rna-XR_002634999.1
LOC111105273 rna-XM_022439461.1
LOC111105296 rna-XM_022439497.1
LOC111105317 rna-XM_022439538.1
LOC111105324 rna-XM_022439546.1
LOC111105382 rna-XM_022439658.1
LOC111105420 rna-XM_022439705.1
LOC111105433 rna-XM_022439728.1
LOC111105434 rna-XM_022439731.1
LOC111105450 rna-XM_022439762.1
LOC111105453 rna-XM_022439755.1
LOC111105462 rna-XM_022439773.1
LOC111105470 rna-XM_022439784.1
LOC111105516 rna-XM_022439861.1
LOC111105540 rna-XM_022439886.1
LOC111105545 rna-XM_022439890.1
LOC111105555 rna-XM_022439912.1
LOC111105570 rna-XM_022439925.1
LOC111105573 rna-XM_022439929.1
LOC111105579 rna-XM_022439937.1
LOC111105597 rna-XM_022439960.1
LOC111105618 rna-XM_022439986.1
LOC111105619 rna-XM_022440006.1
LOC111105624 rna-XM_022439994.1
LOC111105636 rna-XM_022440017.1
LOC111105684 rna-XM_022440040.1
LOC111105755 rna-XM_022440139.1
LOC111105763 rna-XM_022440145.1
LOC111105770 rna-XM_022440155.1
LOC111105805 rna-XM_022440196.1
LOC111105810 rna-XM_022440210.1
LOC111105822 rna-XR_002635119.1
LOC111105840 rna-XM_022440278.1
LOC111105866 rna-XM_022440322.1
LOC111105882 rna-XM_022440340.1
LOC111105931 rna-XM_022440431.1
LOC111105939 rna-XR_002635132.1
LOC111105975 rna-XM_022440489.1
LOC111105983 rna-XM_022440501.1
LOC111106042 rna-XM_022440559.1
LOC111106057 rna-XM_022440579.1
LOC111106078 rna-XM_022440601.1
LOC111106103 rna-XM_022440632.1
LOC111106170 rna-XM_022440724.1
LOC111106179 rna-XR_002635183.1
LOC111106189 rna-XM_022440748.1
LOC111106199 rna-XM_022440767.1
LOC111106245 rna-XM_022440849.1
LOC111106255 rna-XM_022440858.1
LOC111106260 rna-XM_022440865.1
LOC111106267 rna-XM_022440876.1
LOC111106299 rna-XM_022440916.1
LOC111106307 rna-XM_022440934.1
LOC111106339 rna-XM_022440986.1
LOC111106386 rna-XM_022441042.1
LOC111106393 rna-XR_002635207.1
LOC111106420 rna-XM_022441090.1
LOC111106424 rna-XM_022441096.1
LOC111106438 rna-XM_022441110.1
LOC111106461 rna-XM_022441144.1
LOC111106471 rna-XM_022441166.1
LOC111106480 rna-XM_022441178.1
LOC111106481 rna-XM_022441182.1
LOC111106483 rna-XM_022441184.1
LOC111106504 rna-XM_022441210.1
LOC111106512 rna-XM_022441224.1
LOC111106516 rna-XM_022441231.1
LOC111106546 rna-XM_022441269.1
LOC111106578 rna-XM_022441304.1
LOC111106611 rna-XM_022441344.1
LOC111106628 rna-XM_022441364.1
LOC111106629 rna-XM_022441366.1
LOC111106650 rna-XM_022441402.1
LOC111106653 rna-XM_022441405.1
LOC111106659 rna-XM_022441421.1
LOC111106698 rna-XM_022441477.1
LOC111106711 rna-XM_022441499.1
LOC111106732 rna-XM_022441528.1
LOC111106750 rna-XM_022441549.1
LOC111106755 rna-XM_022441567.1
LOC111106793 rna-XM_022441615.1
LOC111106837 rna-XM_022441683.1
LOC111106867 rna-XM_022441726.1
LOC111106874 rna-XM_022441743.1
LOC111106915 rna-XR_002635313.1
LOC111106940 rna-XM_022441820.1
LOC111106979 rna-XM_022441883.1
LOC111106989 rna-XM_022441911.1
LOC111106996 rna-XR_002635322.1
LOC111107014 rna-XM_022441943.1
LOC111107019 rna-XM_022441950.1
LOC111107032 rna-XM_022441975.1
LOC111107040 rna-XM_022441983.1
LOC111107058 rna-XM_022442013.1
LOC111107084 rna-XM_022442051.1
LOC111107085 rna-XM_022442054.1
LOC111107130 rna-XM_022442126.1
LOC111107155 rna-XM_022442189.1
LOC111107158 rna-XM_022442194.1
LOC111107159 rna-XM_022442196.1
LOC111107181 rna-XM_022442227.1
LOC111107185 rna-XM_022442238.1
LOC111107204 rna-XM_022442284.1
LOC111107218 rna-XR_002635372.1
LOC111107224 rna-XM_022442309.1
LOC111107253 rna-XM_022442361.1
LOC111107266 rna-XM_022442377.1
LOC111107272 rna-XM_022442387.1
LOC111107284 rna-XM_022442413.1
LOC111107300 rna-XR_002635383.1
LOC111107318 rna-XM_022442461.1
LOC111107328 rna-XM_022442492.1
LOC111107360 rna-XM_022442536.1
LOC111107364 rna-XM_022442549.1
LOC111107413 rna-XM_022442607.1
LOC111107422 rna-XM_022442619.1
LOC111107486 rna-XM_022442704.1
LOC111107489 rna-XM_022442710.1
LOC111107510 rna-XR_002635411.1
LOC111107523 rna-XM_022442771.1
LOC111107576 rna-XM_022442843.1
LOC111107595 rna-XM_022442862.1
LOC111107663 rna-XM_022442953.1
LOC111107667 rna-XM_022442961.1
LOC111107669 rna-XM_022442970.1
LOC111107678 rna-XM_022442994.1
LOC111107679 rna-XM_022442996.1
LOC111107727 rna-XM_022443055.1
LOC111107757 rna-XM_022443099.1
LOC111107767 rna-XM_022443115.1
LOC111107781 rna-XR_002635452.1
LOC111107786 rna-XM_022443136.1
LOC111107815 rna-XM_022443177.1
LOC111107844 rna-XM_022443229.1
LOC111107854 rna-XM_022443246.1
LOC111107855 rna-XM_022443252.1
LOC111107897 rna-XM_022443299.1
LOC111107907 rna-XM_022443312.1
LOC111107926 rna-XM_022443361.1
LOC111107933 rna-XM_022443385.1
LOC111107940 rna-XM_022443402.1
LOC111107942 rna-XM_022443406.1
LOC111107953 rna-XR_002635478.1
LOC111107968 rna-XM_022443427.1
LOC111107974 rna-XR_002635498.1
LOC111107976 rna-XM_022443434.1
LOC111108007 rna-XM_022443481.1
LOC111108010 rna-XM_022443487.1
LOC111108026 rna-XM_022443516.1
LOC111108048 rna-XM_022443542.1
LOC111108050 rna-XM_022443546.1
LOC111108064 rna-XM_022443585.1
LOC111108071 rna-XM_022443592.1
LOC111108145 rna-XM_022443758.1
LOC111108167 rna-XM_022443799.1
LOC111108185 rna-XM_022443834.1
LOC111108197 rna-XM_022443868.1
LOC111108206 rna-XM_022443886.1
LOC111108218 rna-XM_022443949.1
LOC111108225 rna-XM_022443965.1
LOC111108226 rna-XM_022443968.1
LOC111108231 rna-XM_022443976.1
LOC111108249 rna-XM_022444372.1
LOC111108262 rna-XM_022444026.1
LOC111108265 rna-XM_022444029.1
LOC111108314 rna-XM_022444109.1
LOC111108323 rna-XM_022444124.1
LOC111108332 rna-XM_022444134.1
LOC111108344 rna-XR_002635561.1
LOC111108368 rna-XM_022444193.1
LOC111108377 rna-XM_022444213.1
LOC111108381 rna-XM_022444222.1
LOC111108398 rna-XM_022444251.1
LOC111108417 rna-XM_022444287.1
LOC111108443 rna-XM_022444341.1
LOC111108451 rna-XM_022444349.1
LOC111108474 rna-XM_022444386.1
LOC111108479 rna-XM_022444400.1
LOC111108491 rna-XM_022444420.1
LOC111108495 rna-XM_022444427.1
LOC111108503 rna-XM_022444437.1
LOC111108506 rna-XM_022444449.1
LOC111108523 rna-XM_022444478.1
LOC111108530 rna-XM_022444490.1
LOC111108537 rna-XM_022444508.1
LOC111108540 rna-XM_022444515.1
LOC111108564 rna-XM_022444551.1
LOC111108565 rna-XM_022444555.1
LOC111108578 rna-XR_002635596.1
LOC111108604 rna-XM_022444586.1
LOC111108616 rna-XM_022444606.1
LOC111108622 rna-XM_022444612.1
LOC111108626 rna-XM_022444622.1
LOC111108636 rna-XR_002635605.1
LOC111108642 rna-XM_022444644.1
LOC111108659 rna-XM_022444683.1
LOC111108670 rna-XM_022444700.1
LOC111108704 rna-XM_022444742.1
LOC111108708 rna-XR_002635611.1
LOC111108711 rna-XM_022444770.1
LOC111108719 rna-XM_022444759.1
LOC111108724 rna-XM_022444765.1
LOC111108758 rna-XR_002635621.1
LOC111108768 rna-XM_022444829.1
LOC111108782 rna-XM_022444860.1
LOC111109028 rna-XM_022445120.1
LOC111109263 rna-XM_022445355.1
LOC111109321 rna-XM_022445404.1
LOC111109402 rna-XR_002635629.1
LOC111109408 rna-XM_022445496.1
LOC111109410 rna-XM_022445501.1
LOC111109414 rna-XM_022445505.1
LOC111109429 rna-XM_022445531.1
LOC111109432 rna-XM_022445536.1
LOC111109449 rna-XM_022445561.1
LOC111109455 rna-XR_002635636.1
LOC111109473 rna-XM_022445619.1
LOC111109484 rna-XM_022445617.1
LOC111109497 rna-XM_022445643.1
LOC111109546 rna-XM_022445725.1
LOC111109547 rna-XM_022445715.1
LOC111109561 rna-XM_022445733.1
LOC111109588 rna-XM_022445771.1
LOC111109590 rna-XM_022445776.1
LOC111109596 rna-XM_022445785.1
LOC111109602 rna-XM_022445795.1
LOC111109611 rna-XM_022445802.1
LOC111109667 rna-XM_022445881.1
LOC111109698 rna-XM_022445920.1
LOC111109755 rna-XM_022445984.1
LOC111109802 rna-XM_022446038.1
LOC111109814 rna-XM_022446054.1
LOC111109821 rna-XM_022446061.1
LOC111109831 rna-XM_022446074.1
LOC111109845 rna-XM_022446095.1
LOC111109852 rna-XM_022446102.1
LOC111109855 rna-XM_022446107.1
LOC111109940 rna-XM_022446208.1
LOC111109955 rna-XM_022446234.1
LOC111109973 rna-XM_022446263.1
LOC111110028 rna-XM_022446350.1
LOC111110037 rna-XM_022446364.1
LOC111110038 rna-XM_022446368.1
LOC111110041 rna-XM_022446372.1
LOC111110073 rna-XM_022446406.1
LOC111110074 rna-XM_022446409.1
LOC111110083 rna-XM_022446425.1
LOC111110084 rna-XM_022446462.1
LOC111110088 rna-XM_022446432.1
LOC111110089 rna-XM_022446438.1
LOC111110093 rna-XM_022446448.1
LOC111110101 rna-XR_002635761.1
LOC111110104 rna-XM_022446465.1
LOC111110125 rna-XM_022446491.1
LOC111110127 rna-XM_022446494.1
LOC111110136 rna-XM_022446510.1
LOC111110139 rna-XR_002635766.1
LOC111110143 rna-XM_022446523.1
LOC111110144 rna-XM_022446527.1
LOC111110148 rna-XM_022446533.1
LOC111110149 rna-XM_022446535.1
LOC111110152 rna-XM_022446539.1
LOC111110239 rna-XR_002635786.1
LOC111110250 rna-XM_022446663.1
LOC111110255 rna-XM_022446673.1
LOC111110320 rna-XM_022446765.1
LOC111110329 rna-XM_022446780.1
LOC111110347 rna-XM_022446818.1
LOC111110371 rna-XM_022446847.1
LOC111110383 rna-XM_022446863.1
LOC111110394 rna-XM_022446880.1
LOC111110395 rna-XM_022446881.1
LOC111110398 rna-XM_022446887.1
LOC111110421 rna-XM_022446915.1
LOC111110440 rna-XM_022446939.1
LOC111110476 rna-XM_022446979.1
LOC111110477 rna-XM_022446986.1
LOC111110494 rna-XM_022447008.1
LOC111110495 rna-XM_022447016.1
LOC111110503 rna-XM_022447026.1
LOC111110517 rna-XM_022447047.1
LOC111110523 rna-XM_022447067.1
LOC111110524 rna-XM_022447070.1
LOC111110540 rna-XM_022447079.1
LOC111110625 rna-XM_022447199.1
LOC111110637 rna-XM_022447216.1
LOC111110671 rna-XM_022447269.1
LOC111110708 rna-XM_022447295.1
LOC111110720 rna-XM_022447311.1
LOC111110740 rna-XR_002635851.1
LOC111110743 rna-XM_022447343.1
LOC111110748 rna-XM_022447354.1
LOC111110749 rna-XM_022447359.1
LOC111110756 rna-XM_022447372.1
LOC111110782 rna-XM_022447392.1
LOC111110798 rna-XM_022447428.1
LOC111110816 rna-XM_022447434.1
LOC111110826 rna-XM_022447454.1
LOC111110858 rna-XM_022447497.1
LOC111110867 rna-XM_022447516.1
LOC111110875 rna-XM_022447525.1
LOC111110880 rna-XM_022447534.1
LOC111110886 rna-XM_022447543.1
LOC111110890 rna-XM_022447551.1
LOC111110910 rna-XM_022447579.1
LOC111110929 rna-XM_022447593.1
LOC111110946 rna-XM_022447614.1
LOC111110965 rna-XR_002635919.1
LOC111110975 rna-XM_022447656.1
LOC111110985 rna-XM_022447682.1
LOC111110988 rna-XR_002635929.1
LOC111110990 rna-XM_022447700.1
LOC111111003 rna-XM_022447726.1
LOC111111028 rna-XM_022447767.1
LOC111111054 rna-XM_022447795.1
LOC111111056 rna-XM_022447798.1
LOC111111058 rna-XM_022447815.1
LOC111111099 rna-XR_002635952.1
LOC111111107 rna-XM_022447886.1
LOC111111111 rna-XR_002635956.1
LOC111111114 rna-XM_022447897.1
LOC111111119 rna-XM_022447905.1
LOC111111132 rna-XM_022447936.1
LOC111111163 rna-XR_002635966.1
LOC111111212 rna-XM_022448036.1
LOC111111231 rna-XM_022448078.1
LOC111111255 rna-XR_002635991.1
LOC111111269 rna-XM_022448137.1
LOC111111279 rna-XM_022448152.1
LOC111111294 rna-XM_022448176.1
LOC111111314 rna-XM_022448215.1
LOC111111320 rna-XM_022448223.1
LOC111111333 rna-XM_022448245.1
LOC111111341 rna-XM_022448255.1
LOC111111347 rna-XM_022448277.1
LOC111111348 rna-XR_002636003.1
LOC111111358 rna-XM_022448291.1
LOC111111392 rna-XM_022448365.1
LOC111111403 rna-XM_022448396.1
LOC111111409 rna-XM_022448393.1
LOC111111432 rna-XM_022448419.1
LOC111111446 rna-XM_022448440.1
LOC111111451 rna-XM_022448444.1
LOC111111491 rna-XM_022448506.1
