gene_name,change,t_name,Predom_exp,GO,p.value,product
LOC111110260,1,rna-XM_022446681.1,4.1196122,GO:0046718,0.0023,uncharacterized LOC111110260
LOC111110961,1,rna-XM_022447644.1,7.4913438,GO:0046718,0.0023,uncharacterized LOC111110961
LOC111115907,1,rna-XM_022454839.1,3.3316388,GO:0046718,0.0023,uncharacterized LOC111115907
LOC111119290,1,rna-XM_022459315.1,1.8702866,GO:0046718,0.0023,uncharacterized LOC111119290
LOC111119644,1,rna-XM_022460045.1,3.4178188,GO:0046718,0.0023,Niemann-Pick C1 protein-like
LOC111120692,1,rna-XM_022461611.1,2.1739058,GO:0046718,0.0023,Niemann-Pick C1 protein-like
LOC111123558,1,rna-XM_022465965.1,6.2898606,GO:0046718,0.0023,uncharacterized LOC111123558
LOC111124809,1,rna-XM_022468009.1,3.8668101,GO:0046718,0.0023,uncharacterized LOC111124809
LOC111126710,1,rna-XM_022471535.1,4.1876737,GO:0046718,0.0023,cathepsin L1-like
LOC111130345,1,rna-XM_022477307.1,4.0013222,GO:0046718,0.0023,integrase/recombinase xerD homolog
LOC111136033,1,rna-XM_022486604.1,3.0202569,GO:0046718,0.0023,integrase/recombinase xerD homolog
NA,NA,NA,NA,GO:0044403,0.0026,NA
NA,NA,NA,NA,GO:0032606,0.0034,NA
NA,NA,NA,NA,GO:0051767,0.0034,NA
NA,NA,NA,NA,GO:0051769,0.0034,NA
LOC111103696,1,rna-XM_022437133.1,1.6923359,GO:0060576,0.0034,PR domain zinc finger protein 1-like
LOC111103835,1,rna-XM_022437375.1,2.764422,GO:0060576,0.0034,PR domain zinc finger protein 1-like
LOC111112624,1,rna-XM_022450250.1,5.6992245,GO:0060576,0.0034,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
NA,NA,NA,NA,GO:0000429,0.0047,NA
NA,NA,NA,NA,GO:0045990,0.0047,NA
LOC111108642,1,rna-XM_022444648.1,1.1307764,GO:0045924,0.0048,neuroglian-like
LOC111134633,1,rna-XR_002639489.1,5.2965263,GO:0045924,0.0048,muscleblind-like protein 3
NA,NA,NA,NA,GO:0042330,0.0051,NA
LOC111100441,1,rna-XM_022432338.1,4.367143,GO:0051491,0.0054,uncharacterized LOC111100441
LOC111112086,1,rna-XM_022449392.1,5.5314669,GO:0051491,0.0054,uncharacterized LOC111112086
LOC111112216,1,rna-XM_022449625.1,2.3624859,GO:0051491,0.0054,ras-related protein Ral-A-like
LOC111112915,1,rna-XM_022450794.1,3.6957451,GO:0051491,0.0054,ras-related protein Ral-A-like
LOC111122145,1,rna-XM_022463734.1,8.8999573,GO:0051491,0.0054,protein kinase C-binding protein 1-like
LOC111123802,1,rna-XM_022466390.1,2.1207913,GO:0051491,0.0054,formin-binding protein 1-like
LOC111124494,1,rna-XM_022467404.1,1.5330711,GO:0051491,0.0054,formin-binding protein 1-like
LOC111134367,1,rna-XM_022483323.1,2.3646042,GO:0051491,0.0054,uncharacterized LOC111134367
NA,NA,NA,NA,GO:0051701,0.0062,NA
LOC111103664,1,rna-XM_022437085.1,0.9316759,GO:0060326,0.0068,uncharacterized LOC111103664
LOC111106900,1,rna-XM_022441782.1,0.7386444,GO:0060326,0.0068,uncharacterized LOC111106900
LOC111113173,1,rna-XM_022451214.1,8.0358162,GO:0060326,0.0068,phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like
NA,NA,NA,NA,GO:0030029,0.0073,NA
NA,NA,NA,NA,GO:2000243,0.0080,NA
LOC111115897,1,rna-XM_022454805.1,8.7760799,GO:0016266,0.0080,beta-1
LOC111123692,1,rna-XM_022466215.1,3.3945827,GO:0016266,0.0080,beta-1
LOC111125443,1,rna-XM_022469257.1,6.9023529,GO:0016266,0.0080,N-acetyllactosaminide beta-1
LOC111128050,1,rna-XM_022473445.1,6.1778006,GO:0016266,0.0080,polypeptide N-acetylgalactosaminyltransferase 2-like
LOC111129668,1,rna-XM_022476133.1,5.5234436,GO:0016266,0.0080,N-acetyllactosaminide beta-1
NA,NA,NA,NA,GO:0019058,0.0081,NA
LOC111105770,1,rna-XM_022440155.1,2.3877843,GO:0008344,0.0081,FMRFamide receptor-like
LOC111114836,1,rna-XM_022453335.1,2.1476412,GO:0008344,0.0081,tropomodulin-like
LOC111115624,1,rna-XM_022454437.1,1.4096531,GO:0008344,0.0081,tropomodulin-like
LOC111118494,1,rna-XM_022458036.1,5.6397073,GO:0008344,0.0081,sex peptide receptor-like
LOC111119110,1,rna-XM_022458962.1,8.8362987,GO:0008344,0.0081,FMRFamide receptor-like
LOC111125538,1,rna-XM_022469462.1,5.0814399,GO:0008344,0.0081,2'
LOC111127517,1,rna-XM_022472729.1,4.0137268,GO:0008344,0.0081,netrin receptor DCC-like
LOC111132976,1,rna-XM_022480964.1,6.3567603,GO:0008344,0.0081,FMRFamide receptor-like
LOC111137409,1,rna-XM_022488861.1,4.0404426,GO:0008344,0.0081,uncharacterized LOC111137409
LOC111138013,1,rna-XM_022489760.1,5.2186255,GO:0008344,0.0081,uncharacterized LOC111138013
LOC111100523,1,rna-XM_022432487.1,4.1680588,GO:0040029,0.0081,acetyl-CoA carboxylase-like
LOC111103234,1,rna-XM_022436318.1,3.5784161,GO:0040029,0.0081,ubiquinone biosynthesis protein COQ9
LOC111108398,1,rna-XM_022444251.1,0.685192,GO:0055001,0.0083,multiple epidermal growth factor-like domains protein 10
LOC111111941,1,rna-XM_022449143.1,1.4211314,GO:0055001,0.0083,multiple epidermal growth factor-like domains protein 11
LOC111113020,1,rna-XM_022450941.1,7.0885292,GO:0055001,0.0083,multiple epidermal growth factor-like domains protein 10
LOC111113372,1,rna-XM_022451607.1,1.2772967,GO:0055001,0.0083,multiple epidermal growth factor-like domains protein 10
LOC111117139,1,rna-XM_022456220.1,1.6143755,GO:0055001,0.0083,multiple epidermal growth factor-like domains protein 10
LOC111117406,1,rna-XM_022456522.1,1.6042539,GO:0055001,0.0083,multiple epidermal growth factor-like domains protein 10
LOC111100441,1,rna-XM_022432338.1,4.367143,GO:0030036,0.0096,uncharacterized LOC111100441
LOC111105920,1,rna-XM_022440406.1,1.0362402,GO:0030036,0.0096,uncharacterized LOC111105920
LOC111105921,1,rna-XM_022440412.1,1.1618366,GO:0030036,0.0096,uncharacterized LOC111105921
LOC111108108,1,rna-XM_022443678.1,4.0422029,GO:0030036,0.0096,activating transcription factor 7-interacting protein 1-like
LOC111108143,1,rna-XM_022443753.1,2.1938323,GO:0030036,0.0096,FYVE
LOC111109487,1,rna-XM_022445624.1,0.756635,GO:0030036,0.0096,tenascin-like
LOC111123955,1,rna-XM_022466699.1,3.2890311,GO:0030036,0.0096,rho guanine nucleotide exchange factor 17-like
LOC111126416,1,rna-XM_022471046.1,3.5158203,GO:0030036,0.0096,inverted formin-2-like
LOC111130704,1,rna-XR_002638975.1,3.231644,GO:0030036,0.0096,spectrin alpha chain
LOC111131100,1,rna-XM_022478484.1,8.7766996,GO:0030036,0.0096,adenylyl cyclase-associated protein 1-like
LOC111132105,1,rna-XM_022479789.1,6.7190638,GO:0030036,0.0096,alpha-2Db adrenergic receptor-like
LOC111134647,1,rna-XM_022483882.1,6.7318592,GO:0030036,0.0096,coronin-1B-like
LOC111135275,1,rna-XM_022485199.1,8.1625273,GO:0030036,0.0096,angiomotin-like
