gene_name,change,t_name,Predom_exp,GO,p.value,product
LOC111113260,1,rna-XR_002636526.1,0.3824379375,GO:0007517,5.8e-05,uncharacterized LOC111113260
LOC111118073,1,rna-XM_022457368.1,0.81571625,GO:0007517,5.8e-05,growth/differentiation factor 8-like
LOC111119426,1,rna-XM_022459609.1,0.4577048125,GO:0007517,5.8e-05,collagen alpha-1(XXV) chain-like
LOC111119571,1,rna-XM_022459851.1,0.562407625,GO:0007517,5.8e-05,collagen alpha-1(XXV) chain-like
LOC111124650,1,rna-XM_022467721.1,1.73114225,GO:0007517,5.8e-05,titin homolog
LOC111125347,1,rna-XM_022469056.1,0.157019875,GO:0007517,5.8e-05,myosin-7-like
LOC111130916,1,rna-XM_022478193.1,1.394993,GO:0007517,5.8e-05,aryl hydrocarbon receptor nuclear translocator homolog
LOC111099101,1,rna-XM_022430465.1,4.5054673125,GO:0016477,6.2e-05,serine/threonine-protein kinase unc-51-like
LOC111100788,1,rna-XM_022432882.1,13.06688525,GO:0016477,6.2e-05,protein quaking-B-like
LOC111101719,1,rna-XM_022434310.1,0.019766875,GO:0016477,6.2e-05,uncharacterized LOC111101719
LOC111107159,1,rna-XM_022442197.1,4.3440880625,GO:0016477,6.2e-05,uncharacterized LOC111107159
LOC111110880,1,rna-XM_022447534.1,0.353864,GO:0016477,6.2e-05,tyrosine-protein kinase Fer-like
LOC111111392,1,rna-XM_022448364.1,1.8821114375,GO:0016477,6.2e-05,integrin alpha-2-like
LOC111111527,1,rna-XR_002636048.1,0.3225319375,GO:0016477,6.2e-05,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111111946,1,rna-XM_022449163.1,0.168460375,GO:0016477,6.2e-05,receptor-type tyrosine-protein phosphatase delta-like
LOC111112922,1,rna-XM_022450807.1,0.1565460625,GO:0016477,6.2e-05,receptor-type tyrosine-protein phosphatase alpha-like
LOC111113167,1,rna-XM_022451201.1,1.8246505,GO:0016477,6.2e-05,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111114500,1,rna-XM_022452831.1,0.274078,GO:0016477,6.2e-05,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111115638,1,rna-XM_022454456.1,2.665880375,GO:0016477,6.2e-05,adenomatous polyposis coli protein-like
LOC111117113,1,rna-XM_022456199.1,0.2105189375,GO:0016477,6.2e-05,uncharacterized LOC111117113
LOC111124602,1,rna-XM_022467601.1,0.0108105625,GO:0016477,6.2e-05,uncharacterized LOC111124602
LOC111125014,1,rna-XM_022468418.1,20.539122,GO:0016477,6.2e-05,activin receptor type-1-like
LOC111126149,1,rna-XM_022470578.1,7.677628375,GO:0016477,6.2e-05,protocadherin Fat 1-like
LOC111126421,1,rna-XM_022471059.1,1.735938,GO:0016477,6.2e-05,tetraspanin-9-like
LOC111127640,1,rna-XM_022472898.1,0.2842453125,GO:0016477,6.2e-05,CD63 antigen-like
LOC111128082,1,rna-XM_022473499.1,4.9424435625,GO:0016477,6.2e-05,serine/threonine-protein kinase MRCK alpha-like
LOC111128838,1,rna-XM_022474756.1,7.400697,GO:0016477,6.2e-05,tyrosine-protein kinase JAK2-like
LOC111132115,1,rna-XM_022479812.1,1.95229,GO:0016477,6.2e-05,loricrin-like
LOC111132787,1,rna-XM_022480610.1,3.597936125,GO:0016477,6.2e-05,engulfment and cell motility protein 2-like
LOC111134199,1,rna-XM_022483041.1,0.51072475,GO:0016477,6.2e-05,neuropeptides capa receptor-like
LOC111134647,1,rna-XM_022483883.1,14.25422225,GO:0016477,6.2e-05,coronin-1B-like
LOC111134790,1,rna-XM_022484159.1,6.00476475,GO:0016477,6.2e-05,loricrin-like
LOC111135544,1,rna-XM_022485696.1,3.6331874375,GO:0016477,6.2e-05,proline-serine-threonine phosphatase-interacting protein 2-like
LOC111136017,1,rna-XM_022486580.1,7.86460475,GO:0016477,6.2e-05,tyrosine-protein kinase PR2-like
LOC111136109,1,rna-XM_022486720.1,5.0503455625,GO:0016477,6.2e-05,unconventional myosin-XVIIIa-like
LOC111136524,1,rna-XM_022487432.1,3.5671693125,GO:0016477,6.2e-05,unconventional myosin-XVIIIa-like
LOC111100819,1,rna-XM_022432943.1,0.173042125,GO:0032502,7.8e-05,uncharacterized LOC111100819
LOC111118463,1,rna-XM_022457957.1,0.3938963125,GO:0032502,7.8e-05,uncharacterized LOC111118463
LOC111119356,1,rna-XM_022459426.1,0.3948005,GO:0032502,7.8e-05,uncharacterized LOC111119356
NA,NA,NA,NA,GO:0030029,7.8e-05,NA
LOC111101006,1,rna-XM_022433212.1,0.6346999375,GO:0007154,8.5e-05,uncharacterized LOC111101006
LOC111109455,1,rna-XM_022445569.1,0.34597075,GO:0007154,8.5e-05,uncharacterized LOC111109455
LOC111122434,1,rna-XM_022464228.1,0.16644375,GO:0007154,8.5e-05,sodium/calcium exchanger 3-like
LOC111123480,1,rna-XM_022465803.1,0.2434630625,GO:0007154,8.5e-05,tenascin-X-like
LOC111129882,1,rna-XM_022476394.1,15.9263411875,GO:0060537,8.8e-05,selenoprotein N-like
LOC111099101,1,rna-XM_022430465.1,4.5054673125,GO:0007411,9.4e-05,serine/threonine-protein kinase unc-51-like
LOC111099157,1,rna-XM_022430550.1,2.0294685625,GO:0007411,9.4e-05,rap1 GTPase-activating protein 1-like
LOC111101036,1,rna-XM_022433291.1,16.898104125,GO:0007411,9.4e-05,protein hu-li tai shao-like
LOC111102495,1,rna-XM_022435277.1,4.3569958125,GO:0007411,9.4e-05,SH3 and multiple ankyrin repeat domains protein 1-like
LOC111103936,1,rna-XM_022437574.1,0.277023375,GO:0007411,9.4e-05,receptor-type tyrosine-protein phosphatase alpha-like
LOC111107224,1,rna-XM_022442309.1,0.1532558125,GO:0007411,9.4e-05,fibropellin-1-like
LOC111108704,1,rna-XM_022444742.1,0.0998985625,GO:0007411,9.4e-05,neurogenic locus notch homolog protein 1-like
LOC111109408,1,rna-XM_022445496.1,0.3229119375,GO:0007411,9.4e-05,uncharacterized LOC111109408
LOC111110798,1,rna-XM_022447421.1,0.1495803125,GO:0007411,9.4e-05,paired box protein Pax-6-like
LOC111110880,1,rna-XM_022447534.1,0.353864,GO:0007411,9.4e-05,tyrosine-protein kinase Fer-like
LOC111114475,1,rna-XM_022452786.1,0.1723585625,GO:0007411,9.4e-05,receptor-type tyrosine-protein phosphatase S-like
LOC111120519,1,rna-XM_022461300.1,0.328519375,GO:0007411,9.4e-05,uncharacterized LOC111120519
LOC111120610,1,rna-XM_022461458.1,0.653023375,GO:0007411,9.4e-05,receptor-type guanylate cyclase Gyc76C-like
LOC111121847,1,rna-XM_022463306.1,0.3228033125,GO:0007411,9.4e-05,fibropellin-1-like
LOC111122393,1,rna-XM_022464165.1,1.5465135,GO:0007411,9.4e-05,uncharacterized LOC111122393
LOC111123460,1,rna-XM_022465777.1,1.2381180625,GO:0007411,9.4e-05,leucine-rich repeat-containing protein 24-like
LOC111123755,1,rna-XM_022466315.1,0.0716631875,GO:0007411,9.4e-05,uncharacterized LOC111123755
LOC111123813,1,rna-XM_022466415.1,4.2322415625,GO:0007411,9.4e-05,cell adhesion molecule-related/down-regulated by oncogenes-like
LOC111124987,1,rna-XM_022468361.1,25.61267225,GO:0007411,9.4e-05,transcriptional regulator ATRX-like
LOC111126745,1,rna-XM_022471583.1,0.17136425,GO:0007411,9.4e-05,POU domain
LOC111126923,1,rna-XM_022471866.1,0.534581125,GO:0007411,9.4e-05,uncharacterized LOC111126923
LOC111127064,1,rna-XM_022472064.1,0.1327308125,GO:0007411,9.4e-05,POU domain
LOC111127117,1,rna-XM_022472146.1,1.5631091875,GO:0007411,9.4e-05,uncharacterized LOC111127117
LOC111127517,1,rna-XM_022472729.1,0.443046625,GO:0007411,9.4e-05,netrin receptor DCC-like
LOC111127569,1,rna-XM_022472788.1,0.6983215,GO:0007411,9.4e-05,hemicentin-1-like
LOC111127570,1,rna-XM_022472792.1,0.4956196875,GO:0007411,9.4e-05,hemicentin-1-like
LOC111129177,1,rna-XM_022475403.1,2.181417875,GO:0007411,9.4e-05,neurexin-1-like
LOC111130704,1,rna-XM_022477904.1,3.5998160625,GO:0007411,9.4e-05,spectrin alpha chain
LOC111133403,1,rna-XM_022481800.1,2.225071125,GO:0007411,9.4e-05,rap1 GTPase-activating protein 1-like
LOC111136024,1,rna-XM_022486622.1,0.178124125,GO:0007411,9.4e-05,uncharacterized protein DDB_G0279979-like
NA,NA,NA,NA,GO:0097485,9.4e-05,NA
LOC111105273,1,rna-XM_022439457.1,0.2650248125,GO:0048812,0.00012,uncharacterized LOC111105273
LOC111106755,1,rna-XM_022441568.1,0.5178795,GO:0048812,0.00012,serine/threonine-protein kinase PAK 3-like
LOC111107757,1,rna-XM_022443099.1,33.159413625,GO:0048812,0.00012,neuroglian-like
LOC111108642,1,rna-XM_022444646.1,0.4652440625,GO:0048812,0.00012,neuroglian-like
LOC111120953,1,rna-XM_022462018.1,1.7062484375,GO:0048812,0.00012,uncharacterized LOC111120953
LOC111132798,1,rna-XM_022480621.1,16.4229034375,GO:0048812,0.00012,serine/threonine-protein kinase mig-15-like
LOC111135431,1,rna-XM_022485491.1,4.879186375,GO:0048812,0.00012,uncharacterized LOC111135431
NA,NA,NA,NA,GO:0120039,0.00012,NA
NA,NA,NA,NA,GO:0048858,0.00015,NA
LOC111099426,1,rna-XM_022430705.1,6.2977345625,GO:0048468,0.00019,AT-rich interactive domain-containing protein 5B-like
LOC111118073,1,rna-XM_022457368.1,0.81571625,GO:0048468,0.00019,growth/differentiation factor 8-like
NA,NA,NA,NA,GO:0032990,0.00019,NA
NA,NA,NA,NA,GO:0048583,0.00020,NA
NA,NA,NA,NA,GO:0032504,0.00024,NA
NA,NA,NA,NA,GO:0009214,0.00024,NA
LOC111100408,1,rna-XR_002634011.1,5.083664,GO:0007249,0.00024,baculoviral IAP repeat-containing protein 2-like
LOC111101018,1,rna-XM_022433225.1,0.83698325,GO:0007249,0.00024,baculoviral IAP repeat-containing protein 3-like
LOC111103484,1,rna-XM_022436792.1,20.9945314375,GO:0007249,0.00024,mitogen-activated protein kinase kinase kinase 7-interacting protein 3 homolog
LOC111114075,1,rna-XM_022452371.1,4.12266325,GO:0007249,0.00024,uncharacterized LOC111114075
LOC111119669,1,rna-XM_022460079.1,12.730769,GO:0007249,0.00024,rho-associated protein kinase 2-like
LOC111121590,1,rna-XM_022462932.1,6.95171075,GO:0007249,0.00024,nuclear factor NF-kappa-B p105 subunit-like
LOC111138293,1,rna-XM_022490171.1,2.134206,GO:0007249,0.00024,uncharacterized LOC111138293
NA,NA,NA,NA,GO:0061564,0.00024,NA
LOC111107224,1,rna-XM_022442309.1,0.1532558125,GO:0007519,0.00026,fibropellin-1-like
LOC111108704,1,rna-XM_022444742.1,0.0998985625,GO:0007519,0.00026,neurogenic locus notch homolog protein 1-like
LOC111118073,1,rna-XM_022457368.1,0.81571625,GO:0007519,0.00026,growth/differentiation factor 8-like
LOC111121847,1,rna-XM_022463306.1,0.3228033125,GO:0007519,0.00026,fibropellin-1-like
LOC111124650,1,rna-XM_022467721.1,1.73114225,GO:0007519,0.00026,titin homolog
LOC111133393,1,rna-XM_022481750.1,0.202544,GO:0007519,0.00026,uncharacterized LOC111133393
