gene_name,meth.diff,GO,p.value,product
LOC111134709,61,GO:0007049,1.1e-08,leucine-rich repeat and coiled-coil domain-containing protein 1-like
LOC111133065,-50,GO:0007049,1.1e-08,uncharacterized LOC111133065
LOC111134148,-50,GO:0007049,1.1e-08,septin-7-like
LOC111134148,51,GO:0007049,1.1e-08,septin-7-like
LOC111135434,-72,GO:0007049,1.1e-08,retinoblastoma-like protein 1
LOC111135434,-75,GO:0007049,1.1e-08,retinoblastoma-like protein 1
LOC111134306,-52,GO:0007049,1.1e-08,N-lysine methyltransferase KMT5A-like
LOC111134306,-54,GO:0007049,1.1e-08,N-lysine methyltransferase KMT5A-like
LOC111134076,50,GO:0007049,1.1e-08,FK506-binding protein 3-like
LOC111137585,52,GO:0007049,1.1e-08,macrophage erythroblast attacher-like
LOC111134796,55,GO:0007049,1.1e-08,leucine zipper putative tumor suppressor 2 homolog
LOC111132949,-51,GO:0007049,1.1e-08,transforming acidic coiled-coil-containing protein 3-like
LOC111134993,64,GO:0007049,1.1e-08,transforming acidic coiled-coil-containing protein 1-like
LOC111134993,74,GO:0007049,1.1e-08,transforming acidic coiled-coil-containing protein 1-like
LOC111099585,67,GO:0007049,1.1e-08,lys-63-specific deubiquitinase BRCC36-like
LOC111100561,-61,GO:0007049,1.1e-08,probable ubiquitin carboxyl-terminal hydrolase FAF-X
LOC111105379,55,GO:0007049,1.1e-08,serine/threonine-protein kinase Nek9-like
LOC111110608,-52,GO:0007049,1.1e-08,histone-lysine N-methyltransferase SUV39H2-like
LOC111107565,-54,GO:0007049,1.1e-08,host cell factor 1-like
LOC111112653,51,GO:0007049,1.1e-08,uncharacterized LOC111112653
LOC111112653,54,GO:0007049,1.1e-08,uncharacterized LOC111112653
LOC111115356,54,GO:0007049,1.1e-08,breast cancer type 1 susceptibility protein homolog
LOC111115356,-50,GO:0007049,1.1e-08,breast cancer type 1 susceptibility protein homolog
LOC111115356,52,GO:0007049,1.1e-08,breast cancer type 1 susceptibility protein homolog
LOC111112743,-50,GO:0007049,1.1e-08,telomere-associated protein RIF1-like
LOC111114886,56,GO:0007049,1.1e-08,uncharacterized LOC111114886
LOC111113387,56,GO:0007049,1.1e-08,serine/threonine-protein kinase tousled-like 2
LOC111113385,54,GO:0007049,1.1e-08,serine/threonine-protein kinase tousled-like 2
LOC111135247,-54,GO:0046907,5.4e-08,protein spire homolog 1-like
LOC111135247,-67,GO:0046907,5.4e-08,protein spire homolog 1-like
LOC111127765,50,GO:0006892,5.2e-07,unconventional myosin-Ia-like
LOC111099965,53,GO:0006892,5.2e-07,low-density lipoprotein receptor-related protein 8-like
LOC111111058,-60,GO:0006892,5.2e-07,unconventional myosin-Va-like
LOC111111058,61,GO:0006892,5.2e-07,unconventional myosin-Va-like
LOC111111058,50,GO:0006892,5.2e-07,unconventional myosin-Va-like
LOC111137104,-58,GO:0006351,5.3e-07,SWI/SNF complex subunit SMARCC2-like
LOC111099659,61,GO:0006351,5.3e-07,zinc finger protein 177-like
LOC111099659,56,GO:0006351,5.3e-07,zinc finger protein 177-like
LOC111099659,64,GO:0006351,5.3e-07,zinc finger protein 177-like
LOC111123891,53,GO:0006351,5.3e-07,lysine-specific histone demethylase 1B-like
LOC111123818,-51,GO:0006351,5.3e-07,protein argonaute-2-like
LOC111123818,65,GO:0006351,5.3e-07,protein argonaute-2-like
LOC111126694,66,GO:0006351,5.3e-07,uncharacterized LOC111126694
LOC111126605,59,GO:0006351,5.3e-07,uncharacterized LOC111126605
LOC111126605,58,GO:0006351,5.3e-07,uncharacterized LOC111126605
LOC111126605,66,GO:0006351,5.3e-07,uncharacterized LOC111126605
LOC111126605,52,GO:0006351,5.3e-07,uncharacterized LOC111126605
LOC111134747,-58,GO:0006351,5.3e-07,uncharacterized LOC111134747
LOC111134747,-67,GO:0006351,5.3e-07,uncharacterized LOC111134747
LOC111130344,51,GO:0006351,5.3e-07,nuclear factor erythroid 2-related factor 2-like
LOC111118939,51,GO:0006351,5.3e-07,uncharacterized LOC111118939
LOC111137675,-72,GO:0006351,5.3e-07,zinc finger protein 26-like
LOC111135381,52,GO:0006351,5.3e-07,NGFI-A-binding protein homolog
LOC111102833,-52,GO:0006351,5.3e-07,zinc finger E-box-binding homeobox 1-like
LOC111127137,-52,GO:0006351,5.3e-07,retinoic acid receptor alpha-like
LOC111123204,-57,GO:0006351,5.3e-07,B-cell lymphoma 6 protein homolog
LOC111114011,-53,GO:0006351,5.3e-07,zinc finger protein 761-like
LOC111135160,-52,GO:0006351,5.3e-07,protein timeless homolog
LOC111108216,-50,GO:0006351,5.3e-07,zinc finger E-box-binding homeobox 2-like
LOC111135478,51,GO:0006351,5.3e-07,PR domain zinc finger protein 15-like
LOC111122759,64,GO:0006351,5.3e-07,zinc finger protein 260-like
LOC111120013,-77,GO:0006351,5.3e-07,zinc finger protein 2 homolog
LOC111120013,-60,GO:0006351,5.3e-07,zinc finger protein 2 homolog
LOC111118904,69,GO:0006351,5.3e-07,uncharacterized LOC111118904
LOC111118904,-54,GO:0006351,5.3e-07,uncharacterized LOC111118904
LOC111118904,57,GO:0006351,5.3e-07,uncharacterized LOC111118904
LOC111118012,52,GO:0006351,5.3e-07,coiled-coil and C2 domain-containing protein 1-like
LOC111118089,53,GO:0006351,5.3e-07,elongator complex protein 3
LOC111118300,-58,GO:0006351,5.3e-07,histone acetyltransferase KAT6B-like
LOC111121376,-74,GO:0006351,5.3e-07,mediator of RNA polymerase II transcription subunit 23-like
LOC111121376,-66,GO:0006351,5.3e-07,mediator of RNA polymerase II transcription subunit 23-like
LOC111121376,65,GO:0006351,5.3e-07,mediator of RNA polymerase II transcription subunit 23-like
LOC111120489,55,GO:0006351,5.3e-07,HEAT repeat-containing protein 1-like
LOC111120062,-51,GO:0006351,5.3e-07,proteoglycan 4-like
LOC111117921,-53,GO:0006351,5.3e-07,lethal(3)malignant brain tumor-like protein 3
LOC111122313,-57,GO:0006351,5.3e-07,CCR4-NOT transcription complex subunit 3-like
LOC111121273,-52,GO:0006351,5.3e-07,helicase with zinc finger domain 2-like
LOC111121273,-67,GO:0006351,5.3e-07,helicase with zinc finger domain 2-like
LOC111121273,52,GO:0006351,5.3e-07,helicase with zinc finger domain 2-like
LOC111121273,56,GO:0006351,5.3e-07,helicase with zinc finger domain 2-like
LOC111127061,68,GO:0006351,5.3e-07,uncharacterized LOC111127061
LOC111122516,-53,GO:0006351,5.3e-07,transcriptional adapter 2-alpha-like
LOC111123970,57,GO:0006351,5.3e-07,dentin sialophosphoprotein-like
LOC111125018,52,GO:0006351,5.3e-07,E3 ubiquitin-protein ligase MYCBP2-like
LOC111126788,51,GO:0006351,5.3e-07,uncharacterized LOC111126788
LOC111124613,59,GO:0006351,5.3e-07,activating signal cointegrator 1 complex subunit 2-like
LOC111127525,59,GO:0006351,5.3e-07,zinc finger protein 570-like
LOC111123841,64,GO:0006351,5.3e-07,ubiquitin carboxyl-terminal hydrolase isozyme L5-like
LOC111126626,-61,GO:0006351,5.3e-07,CCR4-NOT transcription complex subunit 9-like
LOC111126626,-51,GO:0006351,5.3e-07,CCR4-NOT transcription complex subunit 9-like
LOC111123762,54,GO:0006351,5.3e-07,AF4/FMR2 family member 4-like
LOC111125833,-55,GO:0006351,5.3e-07,uncharacterized LOC111125833
LOC111125795,-51,GO:0006351,5.3e-07,poly [ADP-ribose] polymerase 14-like
LOC111127355,58,GO:0006351,5.3e-07,general transcription factor 3C polypeptide 4-like
LOC111128020,51,GO:0006351,5.3e-07,COMM domain-containing protein 10-like
LOC111130633,69,GO:0006351,5.3e-07,guanine nucleotide exchange protein SMCR8-like
LOC111130633,59,GO:0006351,5.3e-07,guanine nucleotide exchange protein SMCR8-like
LOC111128642,-54,GO:0006351,5.3e-07,transcriptional-regulating factor 1-like
LOC111130152,57,GO:0006351,5.3e-07,bromodomain adjacent to zinc finger domain protein 1A-like
LOC111131058,54,GO:0006351,5.3e-07,cyclin-K-like
LOC111129906,-50,GO:0006351,5.3e-07,YLP motif-containing protein 1-like
LOC111130223,52,GO:0006351,5.3e-07,ARL14 effector protein-like
LOC111129287,-54,GO:0006351,5.3e-07,breast cancer metastasis-suppressor 1-like protein
LOC111129048,51,GO:0006351,5.3e-07,GON-4-like protein
LOC111129048,64,GO:0006351,5.3e-07,GON-4-like protein
LOC111128559,-58,GO:0006351,5.3e-07,methyl-CpG-binding domain protein 2-like
LOC111128564,-59,GO:0006351,5.3e-07,E3 SUMO-protein ligase PIAS2-like
LOC111129072,-51,GO:0006351,5.3e-07,speckle-type POZ protein-like
LOC111128383,56,GO:0006351,5.3e-07,CREB-regulated transcription coactivator 1-like
LOC111136295,-71,GO:0006351,5.3e-07,uncharacterized LOC111136295
LOC111136295,52,GO:0006351,5.3e-07,uncharacterized LOC111136295
LOC111133006,51,GO:0006351,5.3e-07,centrosomal protein of 290 kDa-like
LOC111133006,57,GO:0006351,5.3e-07,centrosomal protein of 290 kDa-like
LOC111135165,55,GO:0006351,5.3e-07,mediator of RNA polymerase II transcription subunit 15-like
LOC111136454,55,GO:0006351,5.3e-07,uncharacterized LOC111136454
LOC111136454,54,GO:0006351,5.3e-07,uncharacterized LOC111136454
LOC111136239,-52,GO:0006351,5.3e-07,protein HIRA-like
LOC111134360,52,GO:0006351,5.3e-07,zinc finger protein 341-like
LOC111134360,58,GO:0006351,5.3e-07,zinc finger protein 341-like
LOC111133062,-50,GO:0006351,5.3e-07,huntingtin-interacting protein 1-like
LOC111137181,-58,GO:0006351,5.3e-07,myb-binding protein 1A-like protein
LOC111137181,-51,GO:0006351,5.3e-07,myb-binding protein 1A-like protein
LOC111137181,-55,GO:0006351,5.3e-07,myb-binding protein 1A-like protein
LOC111135281,-51,GO:0006351,5.3e-07,RE1-silencing transcription factor-like
LOC111136943,-52,GO:0006351,5.3e-07,interferon regulatory factor 8-like
LOC111136924,-50,GO:0006351,5.3e-07,chromodomain-helicase-DNA-binding protein 8-like
LOC111136924,60,GO:0006351,5.3e-07,chromodomain-helicase-DNA-binding protein 8-like
LOC111135434,-72,GO:0006351,5.3e-07,retinoblastoma-like protein 1
LOC111135434,-75,GO:0006351,5.3e-07,retinoblastoma-like protein 1
LOC111136643,51,GO:0006351,5.3e-07,FACT complex subunit SPT16-like
LOC111134594,56,GO:0006351,5.3e-07,nucleolar complex protein 2 homolog
LOC111134306,-52,GO:0006351,5.3e-07,N-lysine methyltransferase KMT5A-like
LOC111134306,-54,GO:0006351,5.3e-07,N-lysine methyltransferase KMT5A-like
LOC111135881,-53,GO:0006351,5.3e-07,transcription factor 25-like
LOC111132479,51,GO:0006351,5.3e-07,uncharacterized LOC111132479
LOC111135642,-57,GO:0006351,5.3e-07,zinc finger protein 83-like
LOC111133949,73,GO:0006351,5.3e-07,zinc finger protein 354B-like
LOC111136406,-54,GO:0006351,5.3e-07,YEATS domain-containing protein 4-like
LOC111136406,-52,GO:0006351,5.3e-07,YEATS domain-containing protein 4-like
LOC111136084,56,GO:0006351,5.3e-07,chromodomain-helicase-DNA-binding protein Mi-2 homolog
LOC111132503,-51,GO:0006351,5.3e-07,chromodomain-helicase-DNA-binding protein Mi-2 homolog
LOC111135819,50,GO:0006351,5.3e-07,ATP-dependent RNA helicase DDX1-like
LOC111135819,-52,GO:0006351,5.3e-07,ATP-dependent RNA helicase DDX1-like
LOC111133758,50,GO:0006351,5.3e-07,polycomb group RING finger protein 1-like
LOC111136050,61,GO:0006351,5.3e-07,histone acetyltransferase KAT7-like
LOC111136050,55,GO:0006351,5.3e-07,histone acetyltransferase KAT7-like
LOC111136050,56,GO:0006351,5.3e-07,histone acetyltransferase KAT7-like
LOC111134835,55,GO:0006351,5.3e-07,homeodomain-only protein-like
LOC111134533,51,GO:0006351,5.3e-07,putative zinc finger protein 286B
LOC111134076,50,GO:0006351,5.3e-07,FK506-binding protein 3-like
LOC111136509,54,GO:0006351,5.3e-07,proline-
LOC111134126,57,GO:0006351,5.3e-07,uncharacterized LOC111134126
LOC111135181,-54,GO:0006351,5.3e-07,DNA-binding protein Ikaros-like
LOC111136459,52,GO:0006351,5.3e-07,IWS1-like protein
LOC111134465,52,GO:0006351,5.3e-07,poly [ADP-ribose] polymerase 14-like
LOC111134465,54,GO:0006351,5.3e-07,poly [ADP-ribose] polymerase 14-like
LOC111136641,67,GO:0006351,5.3e-07,EF-hand calcium-binding domain-containing protein 6-like
LOC111134676,59,GO:0006351,5.3e-07,beta-arrestin-1-like
LOC111136991,-58,GO:0006351,5.3e-07,DNA-directed RNA polymerase II subunit RPB2-like
LOC111136987,-58,GO:0006351,5.3e-07,DNA-directed RNA polymerase II subunit RPB2
LOC111134737,51,GO:0006351,5.3e-07,nuclear hormone receptor HR96-like
LOC111134737,58,GO:0006351,5.3e-07,nuclear hormone receptor HR96-like
LOC111134737,55,GO:0006351,5.3e-07,nuclear hormone receptor HR96-like
LOC111134737,77,GO:0006351,5.3e-07,nuclear hormone receptor HR96-like
LOC111134737,-53,GO:0006351,5.3e-07,nuclear hormone receptor HR96-like
LOC111134737,54,GO:0006351,5.3e-07,nuclear hormone receptor HR96-like
LOC111100403,53,GO:0006351,5.3e-07,uncharacterized LOC111100403
LOC111100403,61,GO:0006351,5.3e-07,uncharacterized LOC111100403
LOC111100406,61,GO:0006351,5.3e-07,uncharacterized LOC111100406
LOC111100426,52,GO:0006351,5.3e-07,far upstream element-binding protein 3-like
LOC111100426,50,GO:0006351,5.3e-07,far upstream element-binding protein 3-like
LOC111100364,-55,GO:0006351,5.3e-07,histone deacetylase complex subunit SAP130-like
LOC111099777,59,GO:0006351,5.3e-07,gastrula zinc finger protein XlCGF7.1-like
LOC111100582,54,GO:0006351,5.3e-07,lysine-specific demethylase 3A-like
LOC111099929,50,GO:0006351,5.3e-07,uncharacterized LOC111099929
LOC111099929,56,GO:0006351,5.3e-07,uncharacterized LOC111099929
LOC111099929,67,GO:0006351,5.3e-07,uncharacterized LOC111099929
LOC111099929,69,GO:0006351,5.3e-07,uncharacterized LOC111099929
LOC111099929,59,GO:0006351,5.3e-07,uncharacterized LOC111099929
LOC111099929,58,GO:0006351,5.3e-07,uncharacterized LOC111099929
LOC111104374,53,GO:0006351,5.3e-07,transcription factor E2F7-like
LOC111105580,57,GO:0006351,5.3e-07,chromatin modification-related protein MEAF6-like
LOC111104017,-56,GO:0006351,5.3e-07,zinc finger protein 711-like
LOC111105527,50,GO:0006351,5.3e-07,tRNA wybutosine-synthesizing protein 5-like
LOC111104779,-54,GO:0006351,5.3e-07,uncharacterized LOC111104779
LOC111104074,-53,GO:0006351,5.3e-07,interleukin-1 receptor-associated kinase 1-binding protein 1-like
LOC111103123,64,GO:0006351,5.3e-07,AT-rich interactive domain-containing protein 2-like
LOC111110608,-52,GO:0006351,5.3e-07,histone-lysine N-methyltransferase SUV39H2-like
LOC111106378,-53,GO:0006351,5.3e-07,uncharacterized LOC111106378
LOC111108707,-51,GO:0006351,5.3e-07,fibropellin-1-like
LOC111108271,-55,GO:0006351,5.3e-07,titin homolog
LOC111108271,-51,GO:0006351,5.3e-07,titin homolog
LOC111106496,51,GO:0006351,5.3e-07,DNA-binding protein P3A2-like
LOC111110366,55,GO:0006351,5.3e-07,uncharacterized LOC111110366
LOC111106097,52,GO:0006351,5.3e-07,retinoic acid receptor beta-like
LOC111106097,-67,GO:0006351,5.3e-07,retinoic acid receptor beta-like
LOC111106097,-53,GO:0006351,5.3e-07,retinoic acid receptor beta-like
LOC111108180,-51,GO:0006351,5.3e-07,zinc finger and BTB domain-containing protein 49-like
LOC111108180,-52,GO:0006351,5.3e-07,zinc finger and BTB domain-containing protein 49-like
LOC111110082,-53,GO:0006351,5.3e-07,COMM domain-containing protein 7-like
LOC111110082,56,GO:0006351,5.3e-07,COMM domain-containing protein 7-like
LOC111105716,52,GO:0006351,5.3e-07,protein polybromo-1-like
LOC111110750,51,GO:0006351,5.3e-07,WD repeat-containing protein 75-like
LOC111114721,-56,GO:0006351,5.3e-07,transformation/transcription domain-associated protein-like
LOC111115438,-61,GO:0006351,5.3e-07,uncharacterized LOC111115438
LOC111112875,51,GO:0006351,5.3e-07,mothers against decapentaplegic homolog 6-like
LOC111112875,50,GO:0006351,5.3e-07,mothers against decapentaplegic homolog 6-like
LOC111114986,51,GO:0006351,5.3e-07,zinc finger protein 420-like
LOC111111274,52,GO:0006351,5.3e-07,COMM domain-containing protein 4-like
LOC111111977,59,GO:0006351,5.3e-07,nuclear receptor ROR-beta-like
LOC111111034,51,GO:0006351,5.3e-07,interleukin enhancer-binding factor 2-like
LOC111111034,52,GO:0006351,5.3e-07,interleukin enhancer-binding factor 2-like
LOC111111034,50,GO:0006351,5.3e-07,interleukin enhancer-binding factor 2-like
LOC111113180,-57,GO:0006351,5.3e-07,zinc finger protein 37 homolog
LOC111113319,-60,GO:0006351,5.3e-07,ecdysone receptor-like
LOC111115356,54,GO:0006351,5.3e-07,breast cancer type 1 susceptibility protein homolog
LOC111115356,-50,GO:0006351,5.3e-07,breast cancer type 1 susceptibility protein homolog
LOC111115356,52,GO:0006351,5.3e-07,breast cancer type 1 susceptibility protein homolog
LOC111117335,60,GO:0006351,5.3e-07,zinc finger protein 473 homolog
LOC111117305,55,GO:0006351,5.3e-07,endothelial zinc finger protein induced by tumor necrosis factor alpha-like
LOC111117825,50,GO:0006351,5.3e-07,transformation/transcription domain-associated protein-like
LOC111099659,61,GO:0006355,5.3e-07,zinc finger protein 177-like
LOC111099659,56,GO:0006355,5.3e-07,zinc finger protein 177-like
LOC111099659,64,GO:0006355,5.3e-07,zinc finger protein 177-like
LOC111123891,53,GO:0006355,5.3e-07,lysine-specific histone demethylase 1B-like
LOC111134747,-58,GO:0006355,5.3e-07,uncharacterized LOC111134747
LOC111134747,-67,GO:0006355,5.3e-07,uncharacterized LOC111134747
LOC111118939,51,GO:0006355,5.3e-07,uncharacterized LOC111118939
LOC111137675,-72,GO:0006355,5.3e-07,zinc finger protein 26-like
LOC111102833,-52,GO:0006355,5.3e-07,zinc finger E-box-binding homeobox 1-like
LOC111127118,-52,GO:0006355,5.3e-07,nuclear receptor ROR-beta-like
LOC111123204,-57,GO:0006355,5.3e-07,B-cell lymphoma 6 protein homolog
LOC111114011,-53,GO:0006355,5.3e-07,zinc finger protein 761-like
LOC111122759,64,GO:0006355,5.3e-07,zinc finger protein 260-like
LOC111120013,-77,GO:0006355,5.3e-07,zinc finger protein 2 homolog
LOC111120013,-60,GO:0006355,5.3e-07,zinc finger protein 2 homolog
LOC111118904,69,GO:0006355,5.3e-07,uncharacterized LOC111118904
LOC111118904,-54,GO:0006355,5.3e-07,uncharacterized LOC111118904
LOC111118904,57,GO:0006355,5.3e-07,uncharacterized LOC111118904
LOC111118300,-58,GO:0006355,5.3e-07,histone acetyltransferase KAT6B-like
LOC111121376,-74,GO:0006355,5.3e-07,mediator of RNA polymerase II transcription subunit 23-like
LOC111121376,-66,GO:0006355,5.3e-07,mediator of RNA polymerase II transcription subunit 23-like
LOC111121376,65,GO:0006355,5.3e-07,mediator of RNA polymerase II transcription subunit 23-like
LOC111122313,-57,GO:0006355,5.3e-07,CCR4-NOT transcription complex subunit 3-like
LOC111123349,-52,GO:0006355,5.3e-07,N-glycosylase/DNA lyase-like
LOC111127061,68,GO:0006355,5.3e-07,uncharacterized LOC111127061
LOC111127549,65,GO:0006355,5.3e-07,zinc finger protein 567-like
LOC111123970,57,GO:0006355,5.3e-07,dentin sialophosphoprotein-like
LOC111125018,52,GO:0006355,5.3e-07,E3 ubiquitin-protein ligase MYCBP2-like
LOC111126788,51,GO:0006355,5.3e-07,uncharacterized LOC111126788
LOC111124613,59,GO:0006355,5.3e-07,activating signal cointegrator 1 complex subunit 2-like
LOC111123841,64,GO:0006355,5.3e-07,ubiquitin carboxyl-terminal hydrolase isozyme L5-like
LOC111126626,-61,GO:0006355,5.3e-07,CCR4-NOT transcription complex subunit 9-like
LOC111126626,-51,GO:0006355,5.3e-07,CCR4-NOT transcription complex subunit 9-like
LOC111123762,54,GO:0006355,5.3e-07,AF4/FMR2 family member 4-like
LOC111128020,51,GO:0006355,5.3e-07,COMM domain-containing protein 10-like
LOC111130633,69,GO:0006355,5.3e-07,guanine nucleotide exchange protein SMCR8-like
LOC111130633,59,GO:0006355,5.3e-07,guanine nucleotide exchange protein SMCR8-like
LOC111129335,-54,GO:0006355,5.3e-07,protein Smaug homolog 1-like
LOC111130152,57,GO:0006355,5.3e-07,bromodomain adjacent to zinc finger domain protein 1A-like
LOC111129906,-50,GO:0006355,5.3e-07,YLP motif-containing protein 1-like
LOC111130223,52,GO:0006355,5.3e-07,ARL14 effector protein-like
LOC111128989,52,GO:0006355,5.3e-07,uncharacterized LOC111128989
LOC111130565,-51,GO:0006355,5.3e-07,5'-3' exoribonuclease 2-like
LOC111129072,-51,GO:0006355,5.3e-07,speckle-type POZ protein-like
LOC111134360,52,GO:0006355,5.3e-07,zinc finger protein 341-like
LOC111134360,58,GO:0006355,5.3e-07,zinc finger protein 341-like
LOC111133062,-50,GO:0006355,5.3e-07,huntingtin-interacting protein 1-like
LOC111137181,-58,GO:0006355,5.3e-07,myb-binding protein 1A-like protein
LOC111137181,-51,GO:0006355,5.3e-07,myb-binding protein 1A-like protein
LOC111137181,-55,GO:0006355,5.3e-07,myb-binding protein 1A-like protein
LOC111135281,-51,GO:0006355,5.3e-07,RE1-silencing transcription factor-like
LOC111134306,-52,GO:0006355,5.3e-07,N-lysine methyltransferase KMT5A-like
LOC111134306,-54,GO:0006355,5.3e-07,N-lysine methyltransferase KMT5A-like
LOC111133949,73,GO:0006355,5.3e-07,zinc finger protein 354B-like
LOC111136406,-54,GO:0006355,5.3e-07,YEATS domain-containing protein 4-like
LOC111136406,-52,GO:0006355,5.3e-07,YEATS domain-containing protein 4-like
LOC111135819,50,GO:0006355,5.3e-07,ATP-dependent RNA helicase DDX1-like
LOC111135819,-52,GO:0006355,5.3e-07,ATP-dependent RNA helicase DDX1-like
LOC111133758,50,GO:0006355,5.3e-07,polycomb group RING finger protein 1-like
LOC111136050,61,GO:0006355,5.3e-07,histone acetyltransferase KAT7-like
LOC111136050,55,GO:0006355,5.3e-07,histone acetyltransferase KAT7-like
LOC111136050,56,GO:0006355,5.3e-07,histone acetyltransferase KAT7-like
LOC111134533,51,GO:0006355,5.3e-07,putative zinc finger protein 286B
LOC111136433,-53,GO:0006355,5.3e-07,transcription termination factor 2-like
LOC111134126,57,GO:0006355,5.3e-07,uncharacterized LOC111134126
LOC111135181,-54,GO:0006355,5.3e-07,DNA-binding protein Ikaros-like
LOC111134465,52,GO:0006355,5.3e-07,poly [ADP-ribose] polymerase 14-like
LOC111134465,54,GO:0006355,5.3e-07,poly [ADP-ribose] polymerase 14-like
LOC111136641,67,GO:0006355,5.3e-07,EF-hand calcium-binding domain-containing protein 6-like
LOC111134676,59,GO:0006355,5.3e-07,beta-arrestin-1-like
LOC111100403,53,GO:0006355,5.3e-07,uncharacterized LOC111100403
LOC111100403,61,GO:0006355,5.3e-07,uncharacterized LOC111100403
LOC111100406,61,GO:0006355,5.3e-07,uncharacterized LOC111100406
