gene	value.var	block	component	transcript	product	GO	GOterm	GOslim	process
gene.LOC111113319	-0.152740946300891	X	1	XM_022451500.1;XM_022451501.1;XM_022451502.1;XM_022451503.1;XM_022451504.1;XM_022451506.1	ecdysone receptor-like%2C transcript variant X1;ecdysone receptor-like%2C transcript variant X2;ecdysone receptor-like%2C transcript variant X3;ecdysone receptor-like%2C transcript variant X4;ecdysone receptor-like%2C transcript variant X5;ecdysone receptor-like%2C transcript variant X6	GO:0005634;GO:0004884;GO:0005496;GO:0008270;GO:0043565;GO:0006351	nucleus;ecdysteroid hormone receptor activity;steroid binding;zinc ion binding;sequence-specific DNA binding;transcription;DNA-dependent	nucleus;signal transduction activity;other molecular function;nucleic acid binding activity;RNA metabolism	C;F;P
gene.LOC111137051	-0.150729604591132	X	1	XM_022488279.1;XM_022488280.1;XM_022488281.1;XM_022488282.1;XM_022488283.1;XM_022488284.1;XM_022488285.1	uncharacterized LOC111137051%2C transcript variant X1;uncharacterized LOC111137051%2C transcript variant X2;uncharacterized LOC111137051%2C transcript variant X3;uncharacterized LOC111137051%2C transcript variant X4;uncharacterized LOC111137051%2C transcript variant X5;uncharacterized LOC111137051%2C transcript variant X6;uncharacterized LOC111137051%2C transcript variant X7	GO:0005634;GO:0003677;GO:0003700;GO:0008270;GO:0006351;GO:0045892;GO:0070895	nucleus;DNA binding;transcription factor activity;zinc ion binding;transcription;DNA-dependent;negative regulation of transcription;DNA-dependent;NA	nucleus;nucleic acid binding activity;transcription regulatory activity;other molecular function;RNA metabolism;NA	C;F;P;NA
gene.LOC111121296	-0.150577787863558	X	1	XM_022462500.1;XM_022462502.1;XM_022462503.1;XM_022462504.1;XM_022462505.1	uncharacterized LOC111121296%2C transcript variant X1;uncharacterized LOC111121296%2C transcript variant X2;uncharacterized LOC111121296%2C transcript variant X3;uncharacterized LOC111121296%2C transcript variant X4;uncharacterized LOC111121296%2C transcript variant X5	GO:0005634;GO:0003707;GO:0004879;GO:0004887;GO:0008270;GO:0000122;GO:0006351;GO:0007552;GO:0016319;GO:0040034;GO:0045944;GO:0000977	nucleus;steroid hormone receptor activity;ligand-dependent nuclear receptor activity;thyroid hormone receptor activity;zinc ion binding;negative regulation of transcription from RNA polymerase II promoter;transcription;DNA-dependent;metamorphosis;mushroom body development;regulation of development;heterochronic;positive regulation of transcription from RNA polymerase II promoter;NA	nucleus;signal transduction activity;other molecular function;RNA metabolism;other biological processes;developmental processes;NA	C;F;P;NA
gene.LOC111123962	-0.143806814156439	X	1	XM_022466720.1;XM_022466718.1;XM_022466719.1	uncharacterized LOC111123962%2C transcript variant X3;uncharacterized LOC111123962%2C transcript variant X1;uncharacterized LOC111123962%2C transcript variant X2	GO:0005774;GO:0016021;GO:0008237;GO:0046872;NA	vacuolar membrane;integral to membrane;metallopeptidase activity;metal ion binding;NA	other cytoplasmic organelle;other membranes;other molecular function;NA	C;F;NA
gene.LOC111124634	-0.142488422224935	X	1	XM_022467681.1	midasin-like	NA	NA	NA	NA
gene.LOC111119640	-0.115470322645681	X	1	XM_022460020.1;XM_022460021.1;XM_022460023.1;XM_022460024.1;XM_022460025.1;XM_022460026.1;XM_022460027.1;XM_022460028.1;XM_022460029.1;XM_022460030.1;XM_022460031.1;XM_022460032.1;XM_022460033.1;XM_022460034.1;XM_022460035.1;XM_022460036.1;XM_022460037.1;XM_022460039.1	single-stranded DNA-binding protein 3-like%2C transcript variant X1;single-stranded DNA-binding protein 3-like%2C transcript variant X2;single-stranded DNA-binding protein 3-like%2C transcript variant X3;single-stranded DNA-binding protein 3-like%2C transcript variant X4;single-stranded DNA-binding protein 3-like%2C transcript variant X5;single-stranded DNA-binding protein 3-like%2C transcript variant X6;single-stranded DNA-binding protein 3-like%2C transcript variant X7;single-stranded DNA-binding protein 3-like%2C transcript variant X8;single-stranded DNA-binding protein 3-like%2C transcript variant X9;single-stranded DNA-binding protein 3-like%2C transcript variant X10;single-stranded DNA-binding protein 3-like%2C transcript variant X11;single-stranded DNA-binding protein 3-like%2C transcript variant X12;single-stranded DNA-binding protein 3-like%2C transcript variant X13;single-stranded DNA-binding protein 3-like%2C transcript variant X14;single-stranded DNA-binding protein 3-like%2C transcript variant X15;single-stranded DNA-binding protein 3-like%2C transcript variant X16;single-stranded DNA-binding protein 3-like%2C transcript variant X17;single-stranded DNA-binding protein 3-like%2C transcript variant X18	GO:0005634;GO:0043234;GO:0003697;GO:0002244;GO:0006461;GO:0008284;GO:0021501;GO:0021547;GO:0045944;GO:0060322;GO:0060323;GO:0000978;GO:0001077;GO:2000744	nucleus;protein complex;single-stranded DNA binding;hemopoietic progenitor cell differentiation;protein complex assembly;positive regulation of cell proliferation;prechordal plate formation;midbrain-hindbrain boundary initiation;positive regulation of transcription from RNA polymerase II promoter;head development;head morphogenesis;NA	nucleus;other cellular component;nucleic acid binding activity;developmental processes;cell organization and biogenesis;cell cycle and proliferation;RNA metabolism;other biological processes;NA	C;F;P;NA
gene.LOC111133472	-0.108220591015228	X	1	XM_022481913.1	tumor protein 63-like	GO:0000790;GO:0005634;GO:0005654;GO:0005667;GO:0005737;GO:0005739;GO:0005791;GO:0005794;GO:0005829;GO:0030425;GO:0002039;GO:0003677;GO:0003682;GO:0003684;GO:0003690;GO:0003700;GO:0042802;GO:0043565;GO:0046872;GO:0050699;GO:0000122;GO:0001302;GO:0001501;GO:0001736;GO:0002053;GO:0002064;GO:0006338;GO:0006915;GO:0006974;GO:0006978;GO:0007219;GO:0007283;GO:0007499;GO:0009954;GO:0010165;GO:0010259;GO:0010332;GO:0010481;GO:0010482;GO:0010838;GO:0030216;GO:0030326;GO:0030859;GO:0031069;GO:0031571;GO:0033147;GO:0034644;GO:0042475;GO:0042771;GO:0042981;GO:0043066;GO:0043281;GO:0043523;GO:0043589;GO:0043616;GO:0045617;GO:0045669;GO:0045747;GO:0045892;GO:0045893;GO:0045944;GO:0048485;GO:0048745;GO:0048807;GO:0051289;GO:0051402;GO:0060157;GO:0060197;GO:0060513;GO:0060529;GO:0000989;GO:0001077;GO:0036342;GO:0044212;GO:0061436;GO:0097371;GO:1900740;GO:1901796;GO:1902808;GO:1904674;GO:2000271;GO:2000381;GO:2000773	nuclear chromatin;nucleus;nucleoplasm;transcription factor complex;cytoplasm;mitochondrion;rough endoplasmic reticulum;Golgi apparatus;cytosol;dendrite;p53 binding;DNA binding;chromatin binding;damaged DNA binding;double-stranded DNA binding;transcription factor activity;identical protein binding;sequence-specific DNA binding;metal ion binding;WW domain binding;negative regulation of transcription from RNA polymerase II promoter;replicative cell aging;skeletal system development;establishment of planar polarity;positive regulation of mesenchymal cell proliferation;epithelial cell development;chromatin remodeling;apoptosis;response to DNA damage stimulus;DNA damage response;signal transduction by p53 class mediator resulting in transcription of p21 class mediator;Notch signaling pathway;spermatogenesis;ectoderm and mesoderm interaction;proximal/distal pattern formation;response to X-ray;multicellular organismal aging;response to gamma radiation;epidermal cell division;regulation of epidermal cell division;positive regulation of keratinocyte proliferation;keratinocyte differentiation;embryonic limb morphogenesis;polarized epithelial cell differentiation;hair follicle morphogenesis;G1 DNA damage checkpoint;negative regulation of estrogen receptor signaling pathway;cellular response to UV;odontogenesis of dentine-containing tooth;DNA damage response;signal transduction by p53 class mediator resulting in induction of apoptosis;regulation of apoptosis;negative regulation of apoptosis;regulation of caspase activity;regulation of neuron apoptosis;skin morphogenesis;keratinocyte proliferation;negative regulation of keratinocyte differentiation;positive regulation of osteoblast differentiation;positive regulation of Notch signaling pathway;negative regulation of transcription;DNA-dependent;positive regulation of transcription;DNA-dependent;positive regulation of transcription from RNA polymerase II promoter;sympathetic nervous system development;smooth muscle tissue development;female genitalia morphogenesis;protein homotetramerization;neuron apoptosis;urinary bladder development;cloacal septation;prostatic bud formation;squamous basal epithelial stem cell differentiation involved in prostate gland acinus development;NA	nucleus;other cellular component;mitochondrion;ER/Golgi;cytosol;other molecular function;nucleic acid binding activity;transcription regulatory activity;RNA metabolism;other biological processes;developmental processes;cell cycle and proliferation;cell organization and biogenesis;death;stress response;signal transduction;cell-cell signaling;NA	C;F;P;NA
gene.LOC111129391	-0.0738196844591029	X	1	XM_022475751.1	G patch domain-containing protein 2-like	GO:0005730;GO:0016607;GO:0003676;GO:0010923	nucleolus;nuclear speck;nucleic acid binding;negative regulation of phosphatase activity	nucleus;nucleic acid binding activity;other metabolic processes	C;F;P
gene.LOC111125856	-0.0671608168932906	X	1	XM_022470049.1;XM_022470051.1	rho GTPase-activating protein 7-like%2C transcript variant X1;rho GTPase-activating protein 7-like%2C transcript variant X2	GO:0005737;GO:0005925;GO:0016020;GO:0005096;GO:0008289;GO:0007165;GO:0035023	cytoplasm;focal adhesion;membrane;GTPase activator activity;lipid binding;signal transduction;regulation of Rho protein signal transduction	other cellular component;other membranes;plasma membrane;enzyme regulator activity;other molecular function;signal transduction	C;F;P
gene.LOC111119844	-0.0636786794854785	X	1	XM_022460366.1	serine/threonine-protein kinase Sgk1-like	GO:0005769;GO:0005829;GO:0031410;GO:0055037;GO:0004672;GO:0004674;GO:0005246;GO:0005524;GO:0015459;GO:0017080;GO:0017081;GO:0035091;GO:0001558;GO:0006468;GO:0006950;GO:0018105;GO:0030334;GO:0032411;GO:0034220;GO:0042127;GO:0042981;GO:0051090;GO:0035556	early endosome;cytosol;cytoplasmic vesicle;recycling endosome;protein kinase activity;protein serine/threonine kinase activity;calcium channel regulator activity;ATP binding;potassium channel regulator activity;sodium channel regulator activity;chloride channel regulator activity;phosphoinositide binding;regulation of cell growth;protein amino acid phosphorylation;response to stress;peptidyl-serine phosphorylation;regulation of cell migration;positive regulation of transporter activity;transmembrane ion transport;regulation of cell proliferation;regulation of apoptosis;regulation of transcription factor activity;NA	other cytoplasmic organelle;cytosol;other cellular component;kinase activity;other molecular function;other biological processes;protein metabolism;stress response;transport;cell cycle and proliferation;death;RNA metabolism;NA	C;F;P;NA
gene.LOC111133485	-0.0631646791639419	X	1	XM_022481929.1;XM_022481930.1;XM_022481931.1;XM_022481932.1;XM_022481933.1	uncharacterized LOC111133485%2C transcript variant X1;uncharacterized LOC111133485%2C transcript variant X2;uncharacterized LOC111133485%2C transcript variant X3;uncharacterized LOC111133485%2C transcript variant X4;uncharacterized LOC111133485%2C transcript variant X5	GO:0001650;GO:0005634;GO:0005654;GO:0005667;GO:0005829;GO:0043231;GO:0003677;GO:0003700;GO:0000122;GO:0006355;GO:0007283;GO:0007568;GO:0009887;GO:0021670;GO:0021987;GO:0030534;GO:0045892;GO:0045893;GO:0045944;GO:0048701;GO:0051573;GO:0000978;GO:0001077;GO:0035914;GO:0071542	fibrillar center;nucleus;nucleoplasm;transcription factor complex;cytosol;intracellular membrane-bounded organelle;DNA binding;transcription factor activity;negative regulation of transcription from RNA polymerase II promoter;regulation of transcription;DNA-dependent;spermatogenesis;aging;organ morphogenesis;lateral ventricle development;cerebral cortex development;adult behavior;negative regulation of transcription;DNA-dependent;positive regulation of transcription;DNA-dependent;positive regulation of transcription from RNA polymerase II promoter;embryonic cranial skeleton morphogenesis;negative regulation of histone H3-K9 methylation;NA	nucleus;cytosol;other cellular component;nucleic acid binding activity;transcription regulatory activity;RNA metabolism;other biological processes;developmental processes;cell organization and biogenesis;protein metabolism;NA	C;F;P;NA
gene.LOC111129299	-0.0427663990277087	X	1	XM_022475584.1	uncharacterized LOC111129299;start_range=.,45191264	GO:0005886;GO:0016021;GO:0051219;GO:0009408;GO:0009409;GO:0009414;GO:0009612;GO:0033555;GO:0042594;GO:0035902	plasma membrane;integral to membrane;phosphoprotein binding;response to heat;response to cold;response to water deprivation;response to mechanical stimulus;multicellular organismal response to stress;response to starvation;NA	other membranes;plasma membrane;other molecular function;stress response;other biological processes;NA	C;F;P;NA
gene.LOC111122895	-0.0335851473243553	X	1	XM_022464926.1;XM_022464927.1;XM_022464928.1;XM_022464929.1	putative protocadherin beta-18%2C transcript variant X1;putative protocadherin beta-18%2C transcript variant X2;putative protocadherin beta-18%2C transcript variant X3;putative protocadherin beta-18%2C transcript variant X4	GO:0005634;GO:0005730;GO:0005886;GO:0005887;GO:0005911;GO:0030054;GO:0043231;GO:0005509;GO:0007156;GO:0007267;GO:0007399	nucleus;nucleolus;plasma membrane;integral to plasma membrane;cell-cell junction;cell junction;intracellular membrane-bounded organelle;calcium ion binding;homophilic cell adhesion;cell-cell signaling;nervous system development	nucleus;other membranes;plasma membrane;other cellular component;other molecular function;cell adhesion;cell-cell signaling;developmental processes	C;F;P
gene.LOC111136527	-0.0106035240900946	X	1	NA	NA	NA	NA	NA	NA
gene.LOC111112729	0.0479747266735761	X	1	XM_022450460.1;XM_022450461.1;XM_022450462.1;XM_022450463.1	uncharacterized LOC111112729%2C transcript variant X1;uncharacterized LOC111112729%2C transcript variant X2;uncharacterized LOC111112729%2C transcript variant X3;uncharacterized LOC111112729%2C transcript variant X4	GO:0016021;GO:0007186;GO:0019236	integral to membrane;G-protein coupled receptor protein signaling pathway;response to pheromone	other membranes;signal transduction;other biological processes	C;P
gene.LOC111128535	-0.304449724764736	Y	1	XM_022474186.1	uncharacterized LOC111128535	GO:0005730;GO:0005789;GO:0005819;GO:0005829;GO:0005886;GO:0005902;GO:0005938;GO:0030659;GO:0048471;GO:0003779;GO:0006974;GO:0007275;GO:0015031;GO:0016192;GO:0040038;GO:0042177;GO:0043066;GO:0046907;GO:0048477;GO:0051295;GO:0051758;GO:0070649;GO:0035556;GO:0071456	nucleolus;endoplasmic reticulum membrane;spindle;cytosol;plasma membrane;microvillus;cell cortex;cytoplasmic vesicle membrane;perinuclear region of cytoplasm;actin binding;response to DNA damage stimulus;multicellular organismal development;protein transport;vesicle-mediated transport;polar body extrusion after meiotic divisions;negative regulation of protein catabolic process;negative regulation of apoptosis;intracellular transport;oogenesis;establishment of meiotic spindle localization;homologous chromosome movement towards spindle pole during meiosis I;formin-nucleated actin cable assembly;NA	nucleus;ER/Golgi;other membranes;cytoskeleton;cytosol;plasma membrane;other cellular component;cytoskeletal activity;stress response;developmental processes;transport;cell cycle and proliferation;protein metabolism;death;other biological processes;cell organization and biogenesis;NA	C;F;P;NA
gene.LOC111114545	-0.163266424089485	Y	1	XM_022452892.1	tripartite motif-containing protein 59-like	GO:0005737;GO:0003723;GO:0004842;GO:0008270;GO:0032608;GO:0034340;GO:0045087;GO:0046597;GO:0051607;GO:0070534;GO:0061630;GO:1902187	cytoplasm;RNA binding;ubiquitin-protein ligase activity;zinc ion binding;interferon-beta production;response to type I interferon;innate immune response;negative regulation of virion penetration into host cell;defense response to virus;protein K63-linked ubiquitination;NA	other cellular component;nucleic acid binding activity;other molecular function;other biological processes;stress response;protein metabolism;NA	C;F;P;NA
gene.LOC111103096	-0.141824482182238	Y	1	XM_022436121.1;XM_022436130.1	nuclear pore complex protein Nup160-like%2C transcript variant X1;nuclear pore complex protein Nup160-like%2C transcript variant X2	GO:0000776;GO:0005643;GO:0031080;GO:0005487;GO:0006406	kinetochore;nuclear pore;Nup107-160 complex;nucleocytoplasmic transporter activity;mRNA export from nucleus	other cellular component;nucleus;other membranes;transporter activity;transport	C;F;P
gene.LOC111117840	-0.050956458386301	Y	1	XM_022457073.1	chromobox protein homolog 8-like	GO:0000151;GO:0000790;GO:0000792;GO:0005634;GO:0005654;GO:0031519;GO:0035102;GO:0003727;GO:0035064;GO:0000122;GO:0006342;GO:0006351;GO:0008284;GO:0016574;GO:0032967;GO:0045739;GO:0070301;GO:0097027	ubiquitin ligase complex;nuclear chromatin;heterochromatin;nucleus;nucleoplasm;PcG protein complex;PRC1 complex;single-stranded RNA binding;methylated histone residue binding;negative regulation of transcription from RNA polymerase II promoter;chromatin silencing;transcription;DNA-dependent;positive regulation of cell proliferation;histone ubiquitination;positive regulation of collagen biosynthetic process;positive regulation of DNA repair;cellular response to hydrogen peroxide;NA	other cellular component;nucleus;nucleic acid binding activity;other molecular function;RNA metabolism;cell cycle and proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;DNA metabolism;stress response;NA	C;F;P;NA
gene.LOC111133283	0.00852201494076085	Y	1	NA	NA	NA	NA	NA	NA
gene.LOC111133388	0.028775645689337	Y	1	XM_022481745.1	signal transducing adapter molecule 2-like	GO:0005654;GO:0005737;GO:0005829;GO:0031901;GO:0033565;GO:0043231;GO:0006886;GO:0016197;GO:0016236;GO:0016579;GO:0042059;GO:0036258;GO:0061024	nucleoplasm;cytoplasm;cytosol;early endosome membrane;ESCRT-0 complex;intracellular membrane-bounded organelle;intracellular protein transport;endosome transport;macroautophagy;protein deubiquitination;negative regulation of epidermal growth factor receptor signaling pathway;NA	nucleus;other cellular component;cytosol;other cytoplasmic organelle;other membranes;transport;other metabolic processes;stress response;protein metabolism;signal transduction;NA	C;P;NA
gene.LOC111109748	0.0374164055240884	Y	1	XM_022445973.1	calcium-independent phospholipase A2-gamma-like	GO:0000139;GO:0005789;GO:0016021;GO:0048471;GO:0004622;GO:0016042	Golgi membrane;endoplasmic reticulum membrane;integral to membrane;perinuclear region of cytoplasm;lysophospholipase activity;lipid catabolic process	ER/Golgi;other membranes;other cellular component;other molecular function;other metabolic processes	C;F;P
gene.LOC111137695	0.0464264779204481	Y	1	XM_022489283.1;XM_022489284.1;XM_022489285.1;XM_022489286.1;XM_022489287.1	ras-related protein Rab-35-like%2C transcript variant X1;ras-related protein Rab-35-like%2C transcript variant X2;ras-related protein Rab-35-like%2C transcript variant X3;ras-related protein Rab-35-like%2C transcript variant X4;ras-related protein Rab-35-like%2C transcript variant X5	GO:0000139;GO:0005764;GO:0005765;GO:0005768;GO:0005776;GO:0005794;GO:0055038;GO:0003924;GO:0005525;GO:0019003;GO:0006914;GO:0008333;GO:0015031;GO:0044257	Golgi membrane;lysosome;lysosomal membrane;endosome;autophagic vacuole;Golgi apparatus;recycling endosome membrane;GTPase activity;GTP binding;GDP binding;autophagy;endosome to lysosome transport;protein transport;cellular protein catabolic process	ER/Golgi;other membranes;other cytoplasmic organelle;other molecular function;other metabolic processes;transport;protein metabolism	C;F;P
gene.LOC111127025	0.0621794415249692	Y	1	XM_022472006.1	neuromedin-U receptor 2-like	GO:0005622;GO:0005886;GO:0016021;GO:0001607;GO:0004930;GO:0005229;GO:0005525;GO:0042924;GO:0002023;GO:0006816;GO:0006940;GO:0007200;GO:0007204;GO:0007218;GO:0007267;GO:0007417;GO:0007625;GO:0007631;GO:0019722;GO:0043006;GO:0048016;GO:0048265;GO:0050482	intracellular;plasma membrane;integral to membrane;neuromedin U receptor activity;G-protein coupled receptor activity;intracellular calcium activated chloride channel activity;GTP binding;neuromedin U binding;reduction of food intake in response to dietary excess;calcium ion transport;regulation of smooth muscle contraction;activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger;elevation of cytosolic calcium ion concentration;neuropeptide signaling pathway;cell-cell signaling;central nervous system development;grooming behavior;feeding behavior;calcium-mediated signaling;activation of phospholipase A2 activity by calcium-mediated signaling;inositol phosphate-mediated signaling;response to pain;arachidonic acid secretion	other cellular component;other membranes;plasma membrane;signal transduction activity;transporter activity;other molecular function;other biological processes;transport;signal transduction;cell-cell signaling;developmental processes;stress response	C;F;P
gene.LOC111099172	0.0754441015274216	Y	1	XM_022430582.1	zinc metalloproteinase nas-13-like	GO:0005615;GO:0005938;GO:0048471;GO:0004222;GO:0008270	extracellular space;cell cortex;perinuclear region of cytoplasm;metalloendopeptidase activity;zinc ion binding	non-structural extracellular;other cellular component;other molecular function	C;F
gene.LOC111120744	0.0889847215973348	Y	1	XM_022461681.1	uncharacterized LOC111120744	GO:0005737;GO:0042641;GO:0004674;GO:0004721;GO:0004871;GO:0005524;GO:0005525;GO:0000281;GO:0006470;GO:0007264;GO:0035556;GO:0099139	cytoplasm;actomyosin;protein serine/threonine kinase activity;phosphoprotein phosphatase activity;signal transducer activity;ATP binding;GTP binding;cytokinesis after mitosis;protein amino acid dephosphorylation;small GTPase mediated signal transduction;NA	other cellular component;cytoskeleton;kinase activity;other molecular function;signal transduction activity;cell cycle and proliferation;protein metabolism;signal transduction;NA	C;F;P;NA
gene.LOC111101731	0.104443220576854	Y	1	XM_022434321.1	uncharacterized LOC111101731	GO:0070064;GO:0007173;GO:0008284;GO:0051781;GO:0070374;GO:0071364	proline-rich region binding;epidermal growth factor receptor signaling pathway;positive regulation of cell proliferation;positive regulation of cell division;positive regulation of ERK1 and ERK2 cascade;NA	other molecular function;signal transduction;cell cycle and proliferation;other biological processes;NA	F;P;NA
gene.LOC111118192	0.108132721685006	Y	1	XM_022457525.1	prostaglandin E2 receptor EP4 subtype-like	GO:0005622;GO:0005886;GO:0016021;GO:0004957;GO:0007188;GO:0007189;GO:0007254;GO:0030278;GO:0032496;GO:0033624;GO:0042093;GO:0050710;GO:0050715;GO:0050728;GO:0050729;GO:0051492;GO:0060348;GO:0070371;GO:0071260;GO:0071380;GO:2000420	intracellular;plasma membrane;integral to membrane;prostaglandin E receptor activity;G-protein signaling;coupled to cAMP nucleotide second messenger;activation of adenylate cyclase activity by G-protein signaling pathway;JNK cascade;regulation of ossification;response to lipopolysaccharide;negative regulation of integrin activation;T-helper cell differentiation;negative regulation of cytokine secretion;positive regulation of cytokine secretion;negative regulation of inflammatory response;positive regulation of inflammatory response;regulation of stress fiber formation;bone development;ERK1 and ERK2 cascade;NA	other cellular component;other membranes;plasma membrane;signal transduction activity;signal transduction;other metabolic processes;stress response;developmental processes;other biological processes;protein metabolism;transport;cell organization and biogenesis;NA	C;F;P;NA
