gene	value.var	block	component	transcript	product	GO	GOterm	GOslim	process
gene.LOC111115681	0.197522648367016	X	1	XM_022454506.1	P2X purinoceptor 7-like	GO:0005639;GO:0005737;GO:0005886;GO:0005887;GO:0005911;GO:0009897;GO:0016020;GO:0031594;GO:0032059;GO:0043025;GO:0001530;GO:0001614;GO:0004931;GO:0005102;GO:0005524;GO:0042803;GO:0000187;GO:0000902;GO:0001845;GO:0001916;GO:0002028;GO:0006468;GO:0006509;GO:0006649;GO:0006900;GO:0006954;GO:0007005;GO:0007166;GO:0007596;GO:0009612;GO:0010043;GO:0010524;GO:0010628;GO:0014049;GO:0014054;GO:0016079;GO:0016485;GO:0017121;GO:0019233;GO:0019835;GO:0030501;GO:0031668;GO:0032060;GO:0032308;GO:0032496;GO:0032755;GO:0032963;GO:0033198;GO:0034405;GO:0034767;GO:0042098;GO:0042493;GO:0043029;GO:0043132;GO:0043409;GO:0044254;GO:0045332;GO:0045779;GO:0045794;GO:0045821;GO:0045919;GO:0046513;GO:0046931;GO:0048705;GO:0048873;GO:0050717;GO:0050718;GO:0050830;GO:0051209;GO:0051259;GO:0051495;GO:0051592;GO:0051602;GO:0051709;GO:0051899;GO:0051901;GO:0070230;GO:0035590;GO:0071359;GO:0072593;GO:0097190;GO:0097191;GO:0098793;GO:0098794;GO:1904172	integral to nuclear inner membrane;cytoplasm;plasma membrane;integral to plasma membrane;cell-cell junction;external side of plasma membrane;membrane;neuromuscular junction;bleb;cell soma;lipopolysaccharide binding;purinergic nucleotide receptor activity;ATP-gated cation channel activity;receptor binding;ATP binding;protein homodimerization activity;activation of MAPK activity;cell morphogenesis;phagolysosome formation;positive regulation of T cell mediated cytotoxicity;regulation of sodium ion transport;protein amino acid phosphorylation;membrane protein ectodomain proteolysis;phospholipid transfer to membrane;membrane budding;inflammatory response;mitochondrion organization;cell surface receptor linked signal transduction;blood coagulation;response to mechanical stimulus;response to zinc ion;positive regulation of calcium ion transport into cytosol;positive regulation of gene expression;positive regulation of glutamate secretion;positive regulation of gamma-aminobutyric acid secretion;synaptic vesicle exocytosis;protein processing;phospholipid scrambling;sensory perception of pain;cytolysis;positive regulation of bone mineralization;cellular response to extracellular stimulus;bleb formation;positive regulation of prostaglandin secretion;response to lipopolysaccharide;positive regulation of interleukin-6 production;collagen metabolic process;response to ATP;response to fluid shear stress;positive regulation of transmembrane ion transport;T cell proliferation;response to drug;T cell homeostasis;NAD transport;negative regulation of MAPKKK cascade;multicellular organismal protein catabolic process;phospholipid translocation;negative regulation of bone resorption;negative regulation of cell volume;positive regulation of glycolysis;positive regulation of cytolysis;ceramide biosynthetic process;pore complex biogenesis;skeletal system morphogenesis;homeostasis of number of cells within a tissue;positive regulation of interleukin-1 alpha secretion;positive regulation of interleukin-1 beta secretion;defense response to Gram-positive bacterium;release of sequestered calcium ion into cytosol;protein oligomerization;positive regulation of cytoskeleton organization;response to calcium ion;response to electrical stimulus;regulation of killing of cells of another organism;membrane depolarization;positive regulation of mitochondrial depolarization;positive regulation of lymphocyte apoptosis;NA	nucleus;other membranes;other cellular component;plasma membrane;other molecular function;signal transduction activity;transporter activity;protein metabolism;signal transduction;cell organization and biogenesis;transport;death;stress response;other biological processes;other metabolic processes;cell-cell signaling;developmental processes;cell cycle and proliferation;NA	C;F;P;NA
gene.LOC111111323	0.198283908274799	X	1	XM_022448228.1	uncharacterized LOC111111323	GO:0003852;GO:0009098	2-isopropylmalate synthase activity;leucine biosynthetic process	other molecular function;other metabolic processes	F;P
gene.LOC111099515	0.250487928481863	X	1	XM_022430825.1;XM_022430826.1;XM_022430827.1	uncharacterized LOC111099515%2C transcript variant X1;uncharacterized LOC111099515%2C transcript variant X2;uncharacterized LOC111099515%2C transcript variant X3	NA	NA	NA	NA
gene.LOC111127089	0.275385920042589	X	1	XM_022472102.1;XM_022472103.1;XM_022472105.1;XM_022472106.1	uncharacterized LOC111127089%2C transcript variant X1;uncharacterized LOC111127089%2C transcript variant X2;uncharacterized LOC111127089%2C transcript variant X3;uncharacterized LOC111127089%2C transcript variant X4	NA	NA	NA	NA
gene.LOC111116821	0.289566153585763	X	1	NA	NA	NA	NA	NA	NA
gene.LOC111110476	0.291118315293748	X	1	XM_022446978.1;XM_022446979.1;XM_022446980.1;XM_022446981.1;XM_022446982.1;XM_022446984.1;XM_022446985.1	uncharacterized LOC111110476%2C transcript variant X1;uncharacterized LOC111110476%2C transcript variant X2;uncharacterized LOC111110476%2C transcript variant X3;uncharacterized LOC111110476%2C transcript variant X4;uncharacterized LOC111110476%2C transcript variant X5;uncharacterized LOC111110476%2C transcript variant X6;uncharacterized LOC111110476%2C transcript variant X7	GO:0005737;GO:0004842;GO:0008270;GO:0043523	cytoplasm;ubiquitin-protein ligase activity;zinc ion binding;regulation of neuron apoptosis	other cellular component;other molecular function;death	C;F;P
gene.LOC111136272	0.292911523630909	X	1	XM_022487013.1	uncharacterized LOC111136272	GO:0005737;GO:0004842;GO:0008270;GO:0043523	cytoplasm;ubiquitin-protein ligase activity;zinc ion binding;regulation of neuron apoptosis	other cellular component;other molecular function;death	C;F;P
gene.LOC111125545	0.308228472638216	X	1	XM_022469475.1;XM_022469474.1	uncharacterized LOC111125545%2C transcript variant X2;uncharacterized LOC111125545%2C transcript variant X1	GO:0005887;GO:0016020;GO:0008028;GO:0015293;GO:0015718;NA	integral to plasma membrane;membrane;monocarboxylic acid transmembrane transporter activity;symporter activity;monocarboxylic acid transport;NA	other membranes;plasma membrane;transporter activity;transport;NA	C;F;P;NA
gene.LOC111100660	0.316351210785342	X	1	XM_022432747.1	uncharacterized LOC111100660	GO:0005737;GO:0004592;GO:0005524;GO:0015940	cytoplasm;pantoate-beta-alanine ligase activity;ATP binding;pantothenate biosynthetic process	other cellular component;other molecular function;other metabolic processes	C;F;P
gene.LOC111131622	0.32267141877514	X	1	XM_022479235.1	uncharacterized LOC111131622	GO:0005886;GO:0005887;GO:0009897;GO:0043025;GO:0004950;GO:0016493;GO:0001764;GO:0002507;GO:0006935;GO:0006954;GO:0006955;GO:0007204;GO:0009314;GO:0009617;GO:0046677;GO:0048872;GO:0050927	plasma membrane;integral to plasma membrane;external side of plasma membrane;cell soma;chemokine receptor activity;C-C chemokine receptor activity;neuron migration;tolerance induction;chemotaxis;inflammatory response;immune response;elevation of cytosolic calcium ion concentration;response to radiation;response to bacterium;response to antibiotic;homeostasis of number of cells;positive regulation of positive chemotaxis	other membranes;plasma membrane;other cellular component;signal transduction activity;developmental processes;other biological processes;stress response	C;F;P
gene.LOC111134500	0.000585639296737738	Y	1	XM_022483582.1	60S ribosomal protein L7-like	GO:0005730;GO:0005925;GO:0016020;GO:0022625;GO:0070062;GO:0003677;GO:0003729;GO:0042803;GO:0006364;GO:0042273	nucleolus;focal adhesion;membrane;cytosolic large ribosomal subunit;extracellular vesicular exosome;DNA binding;mRNA binding;protein homodimerization activity;rRNA processing;ribosomal large subunit biogenesis	nucleus;other membranes;plasma membrane;cytosol;translational apparatus;non-structural extracellular;nucleic acid binding activity;other molecular function;RNA metabolism;other biological processes	C;F;P
gene.LOC111136212	0.0254460757302888	Y	1	XM_022486896.1	profilin-like	GO:0005737;GO:0005856;GO:0003779	cytoplasm;cytoskeleton;actin binding	other cellular component;cytoskeleton;cytoskeletal activity	C;F
gene.LOC111129955	0.0262888002463569	Y	1	XM_022476514.1	desumoylating isopeptidase 2-like	GO:0005737;GO:0008233	cytoplasm;peptidase activity	other cellular component;other molecular function	C;F
gene.LOC111118102	0.0319023310177772	Y	1	XM_022457408.1;XM_022457409.1;XM_022457411.1;XM_022457412.1;XM_022457413.1	cell death-inducing p53-target protein 1-like%2C transcript variant X1;cell death-inducing p53-target protein 1-like%2C transcript variant X2;cell death-inducing p53-target protein 1-like%2C transcript variant X3;cell death-inducing p53-target protein 1-like%2C transcript variant X4;cell death-inducing p53-target protein 1-like%2C transcript variant X5	GO:0005765;GO:0009898;GO:0005125;GO:0008270;GO:0001816;GO:0006351;GO:0006355;GO:0019953;GO:0098559;GO:0098560;GO:0098574	lysosomal membrane;internal side of plasma membrane;cytokine activity;zinc ion binding;cytokine production;transcription;DNA-dependent;regulation of transcription;DNA-dependent;sexual reproduction;NA	other cytoplasmic organelle;other membranes;plasma membrane;signal transduction activity;other molecular function;other biological processes;RNA metabolism;NA	C;F;P;NA
gene.LOC111110764	0.0343636541474588	Y	1	XM_022447380.1	protein singed-like	GO:0005737;GO:0015629;GO:0043005;GO:0043025;GO:0003779;GO:0030674;GO:0051015;GO:0007015;GO:0007163;GO:0008407;GO:0009913;GO:0016358;GO:0030034;GO:0030036;GO:0035017;GO:0035099;GO:0035317;GO:0042060;GO:0046847;GO:0048477;GO:0048800;GO:0048812;GO:0051017	cytoplasm;actin cytoskeleton;neuron projection;cell soma;actin binding;protein binding;bridging;actin filament binding;actin filament organization;establishment or maintenance of cell polarity;bristle morphogenesis;epidermal cell differentiation;dendrite development;microvillar actin bundle formation;actin cytoskeleton organization;cuticle pattern formation;hemocyte migration;imaginal disc-derived wing hair organization;wound healing;filopodium assembly;oogenesis;antennal morphogenesis;neuron projection morphogenesis;actin filament bundle formation	other cellular component;cytoskeleton;cytoskeletal activity;other molecular function;cell organization and biogenesis;developmental processes;stress response;other biological processes	C;F;P
gene.LOC111136630	0.0421680282359563	Y	1	XM_022487617.1	uncharacterized protein C5orf49-like		NA	NA	NA
gene.LOC111122197	0.0462597760314597	Y	1	XM_022463822.1	lymphocyte expansion molecule-like	GO:0005739;GO:0005761;GO:0008284;GO:0035740;GO:1903862	mitochondrion;mitochondrial ribosome;positive regulation of cell proliferation;NA	mitochondrion;translational apparatus;cell cycle and proliferation;NA	C;P;NA
gene.LOC111099209	0.0870451632884303	Y	1	XM_022430641.1	coiled-coil domain-containing protein 92-like	GO:0005654;GO:0005813;GO:0005814;GO:0043231	nucleoplasm;centrosome;centriole;intracellular membrane-bounded organelle	nucleus;cytoskeleton;other cellular component	C
gene.LOC111138302	0.0909526289067134	Y	1	XM_022490184.1	myb-related protein A-like	GO:0005634;GO:0003677;GO:0006351;GO:0006355	nucleus;DNA binding;transcription;DNA-dependent;regulation of transcription;DNA-dependent	nucleus;nucleic acid binding activity;RNA metabolism	C;F;P
gene.LOC111101025	0.105366319411541	Y	1	XM_022433236.1	eukaryotic initiation factor 4A-I-like	GO:0005730;GO:0005737;GO:0048471;GO:0003723;GO:0003743;GO:0004004;GO:0005524;GO:0016887;GO:0006413;GO:0010468;GO:0010501;GO:1900260	nucleolus;cytoplasm;perinuclear region of cytoplasm;RNA binding;translation initiation factor activity;ATP-dependent RNA helicase activity;ATP binding;ATPase activity;translational initiation;regulation of gene expression;RNA secondary structure unwinding;NA	nucleus;other cellular component;nucleic acid binding activity;other molecular function;protein metabolism;other metabolic processes;RNA metabolism;NA	C;F;P;NA
gene.LOC111121504	0.139850043643326	Y	1	XM_022462809.1	solute carrier family 25 member 38-like	GO:0005743;GO:0016021;GO:0005215;GO:0030218	mitochondrial inner membrane;integral to membrane;transporter activity;erythrocyte differentiation	mitochondrion;other membranes;transporter activity;developmental processes	C;F;P
gene.LOC111137576	0.146627914933442	Y	1	XM_022489081.1;XM_022489082.1;XM_022489084.1;XM_022489085.1	BTB/POZ domain-containing protein 16-like%2C transcript variant X1;BTB/POZ domain-containing protein 16-like%2C transcript variant X2;BTB/POZ domain-containing protein 16-like%2C transcript variant X3;BTB/POZ domain-containing protein 16-like%2C transcript variant X4		NA	NA	NA
gene.LOC111124743	0.150759033592151	Y	1	XM_022467892.1	protein FAM78A-like		NA	NA	NA
gene.LOC111120972	0.173905767252211	Y	1	XM_022462050.1;XM_022462059.1	double-stranded RNA-binding protein Staufen homolog%2C transcript variant X1;double-stranded RNA-binding protein Staufen homolog%2C transcript variant X2	GO:0043005;GO:0043025;GO:0043204;GO:0003729;GO:0032880	neuron projection;cell soma;perikaryon;mRNA binding;regulation of protein localization	other cellular component;nucleic acid binding activity;other biological processes	C;F;P
gene.LOC111128014	0.176890306675131	Y	1	XM_022473380.1	protein SPATA45 homolog		NA	NA	NA
gene.LOC111132574	0.234959439725596	Y	1	XM_022480399.1	papilin-like	GO:0005737;GO:0005874;GO:0005875;GO:0030286;GO:0003774;GO:0003777;GO:0005524;GO:0008569;GO:0045503;GO:0045505;GO:0051959;GO:0007018	cytoplasm;microtubule;microtubule associated complex;dynein complex;motor activity;microtubule motor activity;ATP binding;minus-end-directed microtubule motor activity;dynein light chain binding;dynein intermediate chain binding;dynein light intermediate chain binding;microtubule-based movement	other cellular component;cytoskeleton;cytoskeletal activity;other molecular function;other biological processes	C;F;P
gene.LOC111107117	0.245210845151103	Y	1	XM_022442112.1	uncharacterized LOC111107117		NA	NA	NA
gene.LOC111121949	0.251114396952589	Y	1	XM_022463447.1	uncharacterized LOC111121949	GO:0005634;GO:0005737;GO:0004683;GO:0005509;GO:0005516;GO:0005524;GO:0009931;GO:0010857;GO:0009738;GO:0018105;GO:0046777;GO:0035556	nucleus;cytoplasm;calmodulin-dependent protein kinase activity;calcium ion binding;calmodulin binding;ATP binding;calcium-dependent protein serine/threonine kinase activity;calcium-dependent protein kinase activity;abscisic acid mediated signaling;peptidyl-serine phosphorylation;protein amino acid autophosphorylation;NA	nucleus;other cellular component;kinase activity;other molecular function;signal transduction;protein metabolism;NA	C;F;P;NA
gene.LOC111104765	0.257288193187761	Y	1	XM_022438878.1	akirin-2-like	GO:0005634;GO:0005654;GO:0017053;GO:0019899;GO:0000122;GO:0006351;GO:0008284;GO:0009790;GO:0010950;GO:0032496;GO:0032755;GO:0045087;GO:0045944	nucleus;nucleoplasm;transcriptional repressor complex;enzyme binding;negative regulation of transcription from RNA polymerase II promoter;transcription;DNA-dependent;positive regulation of cell proliferation;embryonic development;positive regulation of endopeptidase activity;response to lipopolysaccharide;positive regulation of interleukin-6 production;innate immune response;positive regulation of transcription from RNA polymerase II promoter	nucleus;other molecular function;RNA metabolism;cell cycle and proliferation;developmental processes;other biological processes;stress response	C;F;P
gene.LOC111126882	0.26040720431129	Y	1	XM_022471795.1;XM_022471796.1;XM_022471797.1	uncharacterized LOC111126882%2C transcript variant X1;uncharacterized LOC111126882%2C transcript variant X2;uncharacterized LOC111126882%2C transcript variant X3	GO:0005737;GO:0000166;GO:0017111;GO:0046872;GO:0047429;GO:0009117;GO:0009143	cytoplasm;nucleotide binding;nucleoside-triphosphatase activity;metal ion binding;nucleoside-triphosphate diphosphatase activity;nucleotide metabolic process;nucleoside triphosphate catabolic process	other cellular component;other molecular function;other metabolic processes	C;F;P
gene.LOC111134864	0.281681473730683	Y	1	XM_022484351.1;XM_022484361.1;XM_022484371.1;XM_022484379.1;XM_022484389.1;XM_022484398.1	tektin-3-like%2C transcript variant X1;tektin-3-like%2C transcript variant X2;tektin-3-like%2C transcript variant X3;tektin-3-like%2C transcript variant X4;tektin-3-like%2C transcript variant X5;tektin-3-like%2C transcript variant X6	GO:0002080;GO:0005634;GO:0005874;GO:0030317;GO:0060271;GO:0060294;GO:0036126;GO:0080154	acrosomal membrane;nucleus;microtubule;sperm motility;cilium morphogenesis;cilium movement involved in ciliary motility;NA	other membranes;nucleus;cytoskeleton;other biological processes;cell organization and biogenesis;NA	C;P;NA
gene.LOC111111170	0.295593349332878	Y	1	XM_022447992.1	uncharacterized LOC111111170	GO:0003824	catalytic activity	other molecular function	F
gene.LOC111106649	0.314671279446104	Y	1	XM_022441401.1	protein BTG1-like	GO:0005634;GO:0005737;GO:0019899;GO:0006479;GO:0006979;GO:0007283;GO:0008285;GO:0043085;GO:0043434;GO:0045603;GO:0045663;GO:0045766;GO:2000271	nucleus;cytoplasm;enzyme binding;protein amino acid methylation;response to oxidative stress;spermatogenesis;negative regulation of cell proliferation;positive regulation of catalytic activity;response to peptide hormone stimulus;positive regulation of endothelial cell differentiation;positive regulation of myoblast differentiation;positive regulation of angiogenesis;NA	nucleus;other cellular component;other molecular function;protein metabolism;stress response;other biological processes;cell cycle and proliferation;developmental processes;NA	C;F;P;NA
gene.LOC111119170	0.316665600610351	Y	1	XM_022459048.1	AN1-type zinc finger protein 4-like	GO:0008270	zinc ion binding	other molecular function	F
gene.LOC111112160	0.402314178039824	Y	1	XM_022449532.1	abhydrolase domain-containing protein 2-like	GO:0001669;GO:0016021;GO:0003707;GO:0042562;GO:0047372;GO:0007340;GO:0009611;GO:0030336;GO:0032570;GO:0043401;GO:0046464;GO:0048240;GO:0036126;GO:0097524	acrosomal vesicle;integral to membrane;steroid hormone receptor activity;hormone binding;acylglycerol lipase activity;acrosome reaction;response to wounding;negative regulation of cell migration;response to progesterone stimulus;steroid hormone mediated signaling;acylglycerol catabolic process;sperm capacitation;NA	other cellular component;other membranes;signal transduction activity;other molecular function;other biological processes;stress response;signal transduction;other metabolic processes;NA	C;F;P;NA
gene.LOC111102671	0.00172926939962792	X	2	XM_022435504.1	E3 ubiquitin-protein ligase TRIM71-like	GO:0005634;GO:0005654;GO:0005719;GO:0005720;GO:0003700;GO:0003714;GO:0003723;GO:0004672;GO:0004842;GO:0008270;GO:0031625;GO:0043565;GO:0070087;GO:0001837;GO:0006281;GO:0007265;GO:0007566;GO:0016569;GO:0016925;GO:0042993;GO:0043045;GO:0043388;GO:0045087;GO:0045739;GO:0045869;GO:0045893;GO:0046777;GO:0051259;GO:0060028;GO:0060669;GO:0001105;GO:0035851;GO:0090309;GO:0090575;GO:1901536;GO:1902187;GO:1990841;GO:2000653	nucleus;nucleoplasm;nuclear euchromatin;nuclear heterochromatin;transcription factor activity;transcription corepressor activity;RNA binding;protein kinase activity;ubiquitin-protein ligase activity;zinc ion binding;ubiquitin protein ligase binding;sequence-specific DNA binding;chromo shadow domain binding;epithelial to mesenchymal transition;DNA repair;Ras protein signal transduction;embryo implantation;covalent chromatin modification;protein sumoylation;positive regulation of transcription factor import into nucleus;DNA methylation during embryonic development;positive regulation of DNA binding;innate immune response;positive regulation of DNA repair;negative regulation of retroviral genome replication;positive regulation of transcription;DNA-dependent;protein amino acid autophosphorylation;protein oligomerization;convergent extension involved in axis elongation;embryonic placenta morphogenesis;NA	nucleus;nucleic acid binding activity;transcription regulatory activity;kinase activity;other molecular function;cell organization and biogenesis;developmental processes;DNA metabolism;stress response;signal transduction;protein metabolism;transport;other biological processes;RNA metabolism;NA	C;F;P;NA
gene.LOC111124112	0.0273138924257908	X	2	XM_022466975.1	uncharacterized LOC111124112	GO:0005737;GO:0000049;GO:0004812;GO:0005524;GO:0006418	cytoplasm;tRNA binding;aminoacyl-tRNA ligase activity;ATP binding;tRNA aminoacylation for protein translation	other cellular component;nucleic acid binding activity;other molecular function;RNA metabolism;protein metabolism	C;F;P
gene.LOC111120042	0.0422603453337999	X	2	XM_022460687.1	hemicentin-2-like	GO:0005886;GO:0005918;GO:0031225;GO:0042803;GO:0007156;GO:0007424;GO:0016331;GO:0019991;GO:0035151;GO:0035160;GO:0061343	plasma membrane;septate junction;anchored to membrane;protein homodimerization activity;homophilic cell adhesion;open tracheal system development;morphogenesis of embryonic epithelium;septate junction assembly;regulation of tube size;open tracheal system;maintenance of epithelial integrity;open tracheal system;NA	other membranes;plasma membrane;other molecular function;cell adhesion;developmental processes;cell organization and biogenesis;NA	C;F;P;NA
gene.LOC111113341	0.0497041170886163	X	2	NA	NA	NA	NA	NA	NA
gene.LOC111113290	0.0563992333509738	X	2	XM_022451416.1;XM_022451418.1	collagen alpha-1(IV) chain-like%2C transcript variant X1;collagen alpha-1(IV) chain-like%2C transcript variant X2	GO:0005576;GO:0005581	extracellular region;collagen	non-structural extracellular;extracellular matrix	C
gene.LOC111111415	0.0622708602491595	X	2	XM_022448400.1	neurogenic locus notch homolog protein 2-like	GO:0005886;GO:0016021;GO:0005044;GO:0030169;GO:0006898;GO:0007155;GO:0010976;GO:0016322;GO:0016358;GO:0048680	plasma membrane;integral to membrane;scavenger receptor activity;low-density lipoprotein binding;receptor-mediated endocytosis;cell adhesion;positive regulation of neuron projection development;neuron remodeling;dendrite development;positive regulation of axon regeneration	other membranes;plasma membrane;signal transduction activity;other molecular function;cell organization and biogenesis;transport;cell adhesion;developmental processes;stress response	C;F;P
gene.LOC111101641	0.0680947927055437	X	2	XM_022434213.1;XM_022434215.1;XM_022434214.1	uncharacterized LOC111101641%2C transcript variant X1;uncharacterized LOC111101641%2C transcript variant X3;uncharacterized LOC111101641%2C transcript variant X2	GO:0005634	nucleus;NA	nucleus;NA	C;NA
gene.LOC111136802	0.0697754304192786	X	2	XM_022487918.1	glutamate receptor ionotropic%2C kainate 2-like	GO:0008328;GO:0030054;GO:0030425;GO:0043025;GO:0043195;GO:0043235;GO:0045211;GO:0004970;GO:0005234;GO:0008144;GO:0015277;GO:0016595;GO:0022843;GO:0042803;GO:0007268;GO:0007399;GO:0032229;GO:0032230;GO:0035235;GO:0048167;GO:0048172;GO:0051967	ionotropic glutamate receptor complex;cell junction;dendrite;cell soma;terminal button;receptor complex;postsynaptic membrane;ionotropic glutamate receptor activity;extracellular-glutamate-gated ion channel activity;drug binding;kainate selective glutamate receptor activity;glutamate binding;voltage-gated cation channel activity;protein homodimerization activity;synaptic transmission;nervous system development;negative regulation of synaptic transmission;GABAergic;positive regulation of synaptic transmission;GABAergic;ionotropic glutamate receptor signaling pathway;regulation of synaptic plasticity;regulation of short-term neuronal synaptic plasticity;negative regulation of synaptic transmission;glutamatergic	other membranes;plasma membrane;other cellular component;signal transduction activity;transporter activity;other molecular function;cell-cell signaling;developmental processes;signal transduction	C;F;P
gene.LOC111113381	0.0740664938786761	X	2	XM_022451618.1;XM_022451619.1;XM_022451620.1	uncharacterized LOC111113381%2C transcript variant X1;uncharacterized LOC111113381%2C transcript variant X2;uncharacterized LOC111113381%2C transcript variant X3	GO:0005576;GO:0005509;GO:0006629;GO:0015031	extracellular region;calcium ion binding;lipid metabolic process;protein transport	non-structural extracellular;other molecular function;other metabolic processes;transport	C;F;P
