gene_name,difference,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,GO,p.value,product
LOC111117117,1,2,3,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 10
LOC111117400,1,3,4,GO:0007155,2.6e-10,protein draper-like
LOC111117958,1,0,1,GO:0007155,2.6e-10,E-selectin-like
LOC111118172,1,1,2,GO:0007155,2.6e-10,receptor-type tyrosine-protein phosphatase delta-like
LOC111118178,1,0,1,GO:0007155,2.6e-10,uncharacterized LOC111118178
LOC111118657,1,2,3,GO:0007155,2.6e-10,uncharacterized LOC111118657
LOC111119374,1,2,3,GO:0007155,2.6e-10,synaptogenesis protein syg-2-like
LOC111119616,1,5,6,GO:0007155,2.6e-10,uncharacterized LOC111119616
LOC111119720,1,2,3,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 11
LOC111121454,1,1,2,GO:0007155,2.6e-10,tyrosine-protein phosphatase Lar-like
LOC111122954,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111122954
LOC111123246,1,1,2,GO:0007155,2.6e-10,tenascin-X-like
LOC111123689,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111123689
LOC111124513,1,1,2,GO:0007155,2.6e-10,ovochymase-2-like
LOC111125243,1,2,3,GO:0007155,2.6e-10,protocadherin Fat 4-like
LOC111125677,1,3,4,GO:0007155,2.6e-10,receptor-type tyrosine-protein phosphatase F-like
LOC111126552,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111126552
LOC111126715,1,3,4,GO:0007155,2.6e-10,uncharacterized LOC111126715
LOC111126810,1,11,12,GO:0007155,2.6e-10,teneurin-m-like
LOC111127640,1,1,2,GO:0007155,2.6e-10,CD63 antigen-like
LOC111131147,1,14,15,GO:0007155,2.6e-10,1-phosphatidylinositol 4
LOC111131516,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111131516
LOC111132115,4,2,6,GO:0007155,2.6e-10,loricrin-like
LOC111132477,1,0,1,GO:0007155,2.6e-10,uncharacterized LOC111132477
LOC111132478,1,0,1,GO:0007155,2.6e-10,uncharacterized LOC111132478
LOC111133506,1,7,8,GO:0007155,2.6e-10,uncharacterized LOC111133506
LOC111134168,1,1,2,GO:0007155,2.6e-10,neurogenic locus notch homolog protein 2-like
LOC111134632,1,4,5,GO:0007155,2.6e-10,hemicentin-1-like
LOC111134784,2,1,3,GO:0007155,2.6e-10,contactin-3-like
LOC111134790,4,8,12,GO:0007155,2.6e-10,loricrin-like
LOC111135012,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111135012
LOC111135904,1,5,6,GO:0007155,2.6e-10,neurogenic locus notch homolog protein 1-like
LOC111136267,1,1,2,GO:0007155,2.6e-10,protein toll-like
LOC111136671,1,1,2,GO:0007155,2.6e-10,tenascin-like
LOC111136691,1,10,11,GO:0007155,2.6e-10,SCO-spondin-like
LOC111137474,1,1,2,GO:0007155,2.6e-10,hemicentin-1-like
LOC111100523,1,9,10,GO:0006810,2.7e-10,acetyl-CoA carboxylase-like
LOC111106706,1,2,3,GO:0006810,2.7e-10,ATP-binding cassette sub-family A member 3-like
LOC111109202,1,0,1,GO:0006810,2.7e-10,uncharacterized LOC111109202
LOC111110316,1,4,5,GO:0006810,2.7e-10,ATP-binding cassette sub-family A member 3-like
LOC111113363,1,3,4,GO:0006810,2.7e-10,sodium- and chloride-dependent GABA transporter 2-like
LOC111114239,1,0,1,GO:0006810,2.7e-10,uncharacterized LOC111114239
LOC111115655,1,1,2,GO:0006810,2.7e-10,uncharacterized LOC111115655
LOC111119220,1,5,6,GO:0006810,2.7e-10,ATP-binding cassette sub-family G member 2-like
LOC111119334,1,2,3,GO:0006810,2.7e-10,choline transporter-like protein 1
LOC111120778,1,5,6,GO:0006810,2.7e-10,choline transporter-like protein 1
LOC111125338,5,2,7,GO:0006810,2.7e-10,sodium- and chloride-dependent GABA transporter 2-like
LOC111129393,1,1,2,GO:0006810,2.7e-10,acetylcholine receptor subunit beta-like
LOC111137130,2,2,4,GO:0006810,2.7e-10,cyclic nucleotide-gated cation channel beta-1-like
NA,NA,NA,NA,GO:0051179,3.3e-10,NA
NA,NA,NA,NA,GO:0048646,2.8e-07,NA
NA,NA,NA,NA,GO:0051130,3.1e-07,NA
LOC111134168,1,1,2,GO:0009653,3.7e-07,neurogenic locus notch homolog protein 2-like
NA,NA,NA,NA,GO:0048869,1.6e-06,NA
LOC111100053,1,0,1,GO:0030154,2.9e-06,deleted in malignant brain tumors 1 protein-like
LOC111101163,2,5,7,GO:0030154,2.9e-06,uncharacterized LOC111101163
LOC111103744,2,7,9,GO:0030154,2.9e-06,receptor-type tyrosine-protein phosphatase eta-like
LOC111109695,1,0,1,GO:0030154,2.9e-06,uncharacterized LOC111109695
LOC111111872,1,2,3,GO:0030154,2.9e-06,uncharacterized LOC111111872
LOC111111873,1,2,3,GO:0030154,2.9e-06,uncharacterized LOC111111873
LOC111112006,1,16,17,GO:0030154,2.9e-06,cubilin-like
LOC111112227,1,3,4,GO:0030154,2.9e-06,uncharacterized LOC111112227
LOC111112487,1,4,5,GO:0030154,2.9e-06,protein boule-like
LOC111114226,1,0,1,GO:0030154,2.9e-06,deleted in malignant brain tumors 1 protein-like
LOC111114994,1,1,2,GO:0030154,2.9e-06,uncharacterized LOC111114994
LOC111115780,1,1,2,GO:0030154,2.9e-06,uncharacterized LOC111115780
LOC111119534,1,1,2,GO:0030154,2.9e-06,uncharacterized LOC111119534
LOC111119720,1,2,3,GO:0030154,2.9e-06,multiple epidermal growth factor-like domains protein 11
LOC111122408,1,1,2,GO:0030154,2.9e-06,uncharacterized LOC111122408
LOC111124494,1,11,12,GO:0030154,2.9e-06,formin-binding protein 1-like
LOC111124944,1,15,16,GO:0030154,2.9e-06,thioredoxin domain-containing protein 3 homolog
LOC111125656,1,3,4,GO:0030154,2.9e-06,cathepsin L1-like
LOC111125859,1,2,3,GO:0030154,2.9e-06,cell wall protein DAN4-like
LOC111127572,1,1,2,GO:0030154,2.9e-06,uncharacterized LOC111127572
LOC111128686,1,0,1,GO:0030154,2.9e-06,delta-like protein 3
LOC111130168,1,2,3,GO:0030154,2.9e-06,uncharacterized LOC111130168
LOC111132115,4,2,6,GO:0030154,2.9e-06,loricrin-like
LOC111132370,1,0,1,GO:0030154,2.9e-06,uncharacterized LOC111132370
LOC111133062,1,7,8,GO:0030154,2.9e-06,huntingtin-interacting protein 1-like
LOC111133200,1,1,2,GO:0030154,2.9e-06,deleted in malignant brain tumors 1 protein-like
LOC111134790,4,8,12,GO:0030154,2.9e-06,loricrin-like
LOC111135875,1,2,3,GO:0030154,2.9e-06,probable E3 ubiquitin-protein ligase hulA
NA,NA,NA,NA,GO:0048856,5.5e-06,NA
NA,NA,NA,NA,GO:0032501,5.8e-06,NA
LOC111099781,1,4,5,GO:0016192,9.2e-06,syntaxin-7-like
LOC111101552,1,2,3,GO:0016192,9.2e-06,blood vessel epicardial substance-like
LOC111103287,1,15,16,GO:0016192,9.2e-06,phosphatidylinositol-binding clathrin assembly protein LAP-like
LOC111108280,1,1,2,GO:0016192,9.2e-06,A disintegrin and metalloproteinase with thrombospondin motifs 9-like
LOC111130114,1,2,3,GO:0016192,9.2e-06,jouberin-like
LOC111134950,1,6,7,GO:0016192,9.2e-06,protein spire homolog 1-like
LOC111103847,1,4,5,GO:0032502,1.1e-05,macrophage mannose receptor 1-like
LOC111100144,1,2,3,GO:0007010,1.5e-05,uncharacterized LOC111100144
LOC111101645,1,1,2,GO:0007010,1.5e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111102281,1,0,1,GO:0007010,1.5e-05,receptor-interacting serine/threonine-protein kinase 4-like
LOC111103219,1,0,1,GO:0007010,1.5e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like
LOC111104776,1,1,2,GO:0007010,1.5e-05,uncharacterized LOC111104776
LOC111106424,1,1,2,GO:0007010,1.5e-05,ankyrin-2-like
LOC111107253,1,2,3,GO:0007010,1.5e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111107464,1,0,1,GO:0007010,1.5e-05,ankyrin-1-like
LOC111107721,1,0,1,GO:0007010,1.5e-05,uncharacterized LOC111107721
LOC111107927,1,1,2,GO:0007010,1.5e-05,uncharacterized LOC111107927
LOC111108540,1,1,2,GO:0007010,1.5e-05,uncharacterized LOC111108540
LOC111113858,1,0,1,GO:0007010,1.5e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111133218,2,3,5,GO:0007010,1.5e-05,uncharacterized LOC111133218
LOC111099078,1,1,2,GO:0007275,1.6e-05,uncharacterized LOC111099078
LOC111099673,1,3,4,GO:0007275,1.6e-05,uncharacterized LOC111099673
LOC111100053,1,0,1,GO:0007275,1.6e-05,deleted in malignant brain tumors 1 protein-like
LOC111100073,1,0,1,GO:0007275,1.6e-05,uncharacterized LOC111100073
LOC111102216,1,0,1,GO:0007275,1.6e-05,uncharacterized LOC111102216
LOC111103847,1,4,5,GO:0007275,1.6e-05,macrophage mannose receptor 1-like
LOC111104776,1,1,2,GO:0007275,1.6e-05,uncharacterized LOC111104776
LOC111108048,1,1,2,GO:0007275,1.6e-05,uncharacterized LOC111108048
LOC111108280,1,1,2,GO:0007275,1.6e-05,A disintegrin and metalloproteinase with thrombospondin motifs 9-like
LOC111110329,1,1,2,GO:0007275,1.6e-05,kielin/chordin-like protein
LOC111112006,1,16,17,GO:0007275,1.6e-05,cubilin-like
LOC111112487,1,4,5,GO:0007275,1.6e-05,protein boule-like
LOC111113294,1,1,2,GO:0007275,1.6e-05,uncharacterized LOC111113294
LOC111114226,1,0,1,GO:0007275,1.6e-05,deleted in malignant brain tumors 1 protein-like
LOC111115780,1,1,2,GO:0007275,1.6e-05,uncharacterized LOC111115780
LOC111124944,1,15,16,GO:0007275,1.6e-05,thioredoxin domain-containing protein 3 homolog
LOC111125634,1,6,7,GO:0007275,1.6e-05,titin-like
LOC111125656,1,3,4,GO:0007275,1.6e-05,cathepsin L1-like
LOC111129402,2,1,3,GO:0007275,1.6e-05,membrane progestin receptor beta-like
LOC111132370,1,0,1,GO:0007275,1.6e-05,uncharacterized LOC111132370
LOC111133813,1,1,2,GO:0007275,1.6e-05,uncharacterized LOC111133813
LOC111134304,1,4,5,GO:0007275,1.6e-05,CCR4-NOT transcription complex subunit 1-like
LOC111135792,1,6,7,GO:0007275,1.6e-05,protein broad-minded-like
LOC111138175,1,2,3,GO:0007275,1.6e-05,O-acyltransferase like protein-like
NA,NA,NA,NA,GO:0016043,2.4e-05,NA
LOC111134950,1,6,7,GO:0030029,2.5e-05,protein spire homolog 1-like
LOC111106240,1,9,10,GO:0009611,3.1e-05,uncharacterized LOC111106240
LOC111106333,2,5,7,GO:0009611,3.1e-05,prion-like-(Q/N-rich) domain-bearing protein 25
LOC111106802,1,1,2,GO:0009611,3.1e-05,uncharacterized LOC111106802
LOC111108507,1,1,2,GO:0009611,3.1e-05,cell death abnormality protein 1-like
LOC111123246,1,1,2,GO:0009611,3.1e-05,tenascin-X-like
LOC111132879,1,8,9,GO:0009611,3.1e-05,E3 ubiquitin-protein ligase RGLG4-like
LOC111133218,2,3,5,GO:0009611,3.1e-05,uncharacterized LOC111133218
LOC111100304,2,2,4,GO:0010960,3.2e-05,ankyrin-3-like
LOC111101645,1,1,2,GO:0010960,3.2e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111107271,1,1,2,GO:0010960,3.2e-05,potassium voltage-gated channel subfamily A member 1-like
LOC111108482,1,1,2,GO:0010960,3.2e-05,uncharacterized LOC111108482
LOC111108483,1,0,1,GO:0010960,3.2e-05,ankyrin-1-like
LOC111110037,1,1,2,GO:0010960,3.2e-05,ankyrin-2-like
LOC111112666,1,1,2,GO:0010960,3.2e-05,uncharacterized LOC111112666
LOC111122316,1,29,30,GO:0010960,3.2e-05,ankyrin-2-like
LOC111124528,1,3,4,GO:0010960,3.2e-05,transient receptor potential cation channel subfamily M member 2-like
NA,NA,NA,NA,GO:0098609,3.3e-05,NA
NA,NA,NA,NA,GO:0003008,3.4e-05,NA
NA,NA,NA,NA,GO:0048731,3.7e-05,NA
LOC111113294,1,1,2,GO:0030182,4.0e-05,uncharacterized LOC111113294
LOC111118906,1,3,4,GO:0030182,4.0e-05,serine/threonine-protein phosphatase alpha-2 isoform-like
LOC111120684,1,3,4,GO:0030182,4.0e-05,brain-specific angiogenesis inhibitor 1-associated protein 2-like
LOC111123460,2,11,13,GO:0030182,4.0e-05,leucine-rich repeat-containing protein 24-like
LOC111127351,1,7,8,GO:0030182,4.0e-05,leucine-rich repeat-containing protein 24-like
LOC111136699,1,5,6,GO:0030182,4.0e-05,neuroligin-4
LOC111104839,1,3,4,GO:0048468,4.3e-05,cytochrome b5 reductase 4-like
LOC111101651,1,1,2,GO:0030036,4.5e-05,uncharacterized LOC111101651
LOC111105903,1,1,2,GO:0030036,4.5e-05,nischarin-like
LOC111105948,1,1,2,GO:0030036,4.5e-05,prion-like-(Q/N-rich) domain-bearing protein 25
LOC111107441,1,0,1,GO:0030036,4.5e-05,uncharacterized LOC111107441
LOC111107503,1,0,1,GO:0030036,4.5e-05,uncharacterized LOC111107503
LOC111108124,1,14,15,GO:0030036,4.5e-05,IQ motif and SEC7 domain-containing protein 2-like
LOC111108428,1,3,4,GO:0030036,4.5e-05,prion-like-(Q/N-rich) domain-bearing protein 25
LOC111109487,1,1,2,GO:0030036,4.5e-05,tenascin-like
LOC111116201,1,1,2,GO:0030036,4.5e-05,uncharacterized LOC111116201
LOC111117051,1,1,2,GO:0030036,4.5e-05,multiple epidermal growth factor-like domains protein 10
LOC111130951,1,7,8,GO:0030036,4.5e-05,spectrin alpha chain
LOC111134950,1,6,7,GO:0030036,4.5e-05,protein spire homolog 1-like
LOC111135904,1,5,6,GO:0030036,4.5e-05,neurogenic locus notch homolog protein 1-like
NA,NA,NA,NA,GO:0061024,6.2e-05,NA
NA,NA,NA,NA,GO:0071840,7.2e-05,NA
NA,NA,NA,NA,GO:0048699,7.3e-05,NA
NA,NA,NA,NA,GO:0097435,8.3e-05,NA
LOC111112517,1,1,2,GO:0022008,8.7e-05,uncharacterized LOC111112517
LOC111113345,2,2,4,GO:0022008,8.7e-05,BTB/POZ domain-containing protein 6-like
LOC111115986,1,1,2,GO:0022008,8.7e-05,BTB/POZ domain-containing protein 6-like
LOC111116212,1,0,1,GO:0022008,8.7e-05,BTB/POZ domain-containing protein 6-like
LOC111124018,1,6,7,GO:0022008,8.7e-05,myomegalin-like
LOC111134173,1,0,1,GO:0022008,8.7e-05,multiple epidermal growth factor-like domains protein 10
NA,NA,NA,NA,GO:0044089,0.00012,NA
NA,NA,NA,NA,GO:0032989,0.00016,NA
LOC111113363,1,3,4,GO:0019226,0.00016,sodium- and chloride-dependent GABA transporter 2-like
LOC111121946,1,1,2,GO:0019226,0.00016,voltage-dependent calcium channel gamma-7 subunit-like
LOC111130972,1,1,2,GO:0019226,0.00016,doublesex- and mab-3-related transcription factor B1-like
NA,NA,NA,NA,GO:0043062,0.00018,NA
NA,NA,NA,NA,GO:1903036,0.00021,NA
LOC111099773,1,3,4,GO:0007399,0.00024,transcription factor AP-2-epsilon-like
LOC111101545,1,1,2,GO:0007399,0.00024,uncharacterized LOC111101545
LOC111101913,1,0,1,GO:0007399,0.00024,uncharacterized LOC111101913
LOC111102339,1,1,2,GO:0007399,0.00024,probable E3 ubiquitin-protein ligase MID2
LOC111104078,1,1,2,GO:0007399,0.00024,protocadherin gamma-B7-like
LOC111108993,1,0,1,GO:0007399,0.00024,uncharacterized LOC111108993
LOC111110615,1,2,3,GO:0007399,0.00024,uncharacterized LOC111110615
LOC111111872,1,2,3,GO:0007399,0.00024,uncharacterized LOC111111872
LOC111111873,1,2,3,GO:0007399,0.00024,uncharacterized LOC111111873
LOC111114521,1,1,2,GO:0007399,0.00024,uncharacterized LOC111114521
LOC111114820,1,4,5,GO:0007399,0.00024,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like
LOC111114842,1,4,5,GO:0007399,0.00024,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like
LOC111114916,1,0,1,GO:0007399,0.00024,tripartite motif-containing protein 3-like
LOC111115921,1,1,2,GO:0007399,0.00024,uncharacterized LOC111115921
LOC111121454,1,1,2,GO:0007399,0.00024,tyrosine-protein phosphatase Lar-like
LOC111124494,1,11,12,GO:0007399,0.00024,formin-binding protein 1-like
LOC111125859,1,2,3,GO:0007399,0.00024,cell wall protein DAN4-like
LOC111128360,1,3,4,GO:0007399,0.00024,transmembrane protein 41B-like
LOC111129007,1,3,4,GO:0007399,0.00024,uncharacterized LOC111129007
LOC111130345,1,3,4,GO:0007399,0.00024,integrase/recombinase xerD homolog
LOC111132366,1,1,2,GO:0007399,0.00024,glycoprotein 3-alpha-L-fucosyltransferase A-like
LOC111132939,1,5,6,GO:0007399,0.00024,agrin-like
LOC111134784,2,1,3,GO:0007399,0.00024,contactin-3-like
LOC111136994,1,2,3,GO:0007399,0.00024,tripartite motif-containing protein 5-like
LOC111100304,2,2,4,GO:0010765,0.00025,ankyrin-3-like
LOC111101645,1,1,2,GO:0010765,0.00025,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111108482,1,1,2,GO:0010765,0.00025,uncharacterized LOC111108482
LOC111108483,1,0,1,GO:0010765,0.00025,ankyrin-1-like
LOC111110037,1,1,2,GO:0010765,0.00025,ankyrin-2-like
LOC111112666,1,1,2,GO:0010765,0.00025,uncharacterized LOC111112666
LOC111122316,1,29,30,GO:0010765,0.00025,ankyrin-2-like
LOC111101863,1,1,2,GO:0007601,0.00025,DNA damage-regulated autophagy modulator protein 2-like
LOC111106228,1,2,3,GO:0007601,0.00025,ADP-ribosylation factor-like protein 6
LOC111108244,1,1,2,GO:0007601,0.00025,A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like
LOC111111156,1,4,5,GO:0007601,0.00025,orexin receptor type 2-like
LOC111113202,1,1,2,GO:0007601,0.00025,uncharacterized LOC111113202
LOC111115402,2,0,2,GO:0007601,0.00025,uncharacterized LOC111115402
LOC111118035,1,1,2,GO:0007601,0.00025,cadherin-23-like
LOC111123341,2,2,4,GO:0007601,0.00025,uncharacterized LOC111123341
LOC111123402,2,1,3,GO:0007601,0.00025,hemicentin-1-like
LOC111123618,1,1,2,GO:0007601,0.00025,hemicentin-1-like
LOC111124554,2,9,11,GO:0007601,0.00025,myosin-IIIb-like
LOC111124679,1,1,2,GO:0007601,0.00025,hemicentin-2-like
LOC111125530,1,1,2,GO:0007601,0.00025,coadhesin-like
LOC111125594,2,3,5,GO:0007601,0.00025,uncharacterized LOC111125594
LOC111126252,1,3,4,GO:0007601,0.00025,hemicentin-1-like
LOC111127852,1,1,2,GO:0007601,0.00025,coadhesin-like
LOC111128424,1,2,3,GO:0007601,0.00025,probable nuclear hormone receptor HR3
LOC111130964,1,1,2,GO:0007601,0.00025,melatonin receptor type 1C-like
LOC111131846,1,1,2,GO:0007601,0.00025,brain-specific angiogenesis inhibitor 1-like
LOC111134985,1,0,1,GO:0007601,0.00025,uncharacterized LOC111134985
LOC111137130,2,2,4,GO:0007601,0.00025,cyclic nucleotide-gated cation channel beta-1-like
LOC111100292,1,2,3,GO:0035023,0.00028,T-lymphoma invasion and metastasis-inducing protein 1-like
LOC111102216,1,0,1,GO:0035023,0.00028,uncharacterized LOC111102216
LOC111102342,1,2,3,GO:0035023,0.00028,uncharacterized LOC111102342
LOC111102366,1,2,3,GO:0035023,0.00028,uncharacterized LOC111102366
LOC111103297,1,3,4,GO:0035023,0.00028,epithelial cell-transforming sequence 2 oncogene-like
LOC111109803,1,1,2,GO:0035023,0.00028,muscle M-line assembly protein unc-89-like
LOC111110642,2,3,5,GO:0035023,0.00028,uncharacterized LOC111110642
LOC111112612,1,3,4,GO:0035023,0.00028,uncharacterized LOC111112612
LOC111125634,1,6,7,GO:0035023,0.00028,titin-like
LOC111133350,2,10,12,GO:0035023,0.00028,pleckstrin homology domain-containing family G member 5-like
LOC111135371,1,7,8,GO:0035023,0.00028,pleckstrin homology domain-containing family G member 4B-like
LOC111113027,1,1,2,GO:0048469,0.00032,parathyroid hormone/parathyroid hormone-related peptide receptor-like
NA,NA,NA,NA,GO:0051146,0.00032,NA
LOC111118035,1,1,2,GO:0050953,0.00034,cadherin-23-like
LOC111123341,2,2,4,GO:0050953,0.00034,uncharacterized LOC111123341
LOC111125594,2,3,5,GO:0050953,0.00034,uncharacterized LOC111125594
NA,NA,NA,NA,GO:0050877,0.00038,NA
NA,NA,NA,NA,GO:0051128,0.00042,NA
LOC111101500,1,0,1,GO:0006909,0.00044,multiple epidermal growth factor-like domains protein 10
LOC111103035,1,0,1,GO:0006909,0.00044,cell death abnormality protein 1-like
LOC111104030,1,1,2,GO:0006909,0.00044,uncharacterized LOC111104030
LOC111106203,1,1,2,GO:0006909,0.00044,uncharacterized LOC111106203
LOC111108943,1,0,1,GO:0006909,0.00044,cell death abnormality protein 1-like
LOC111111161,1,1,2,GO:0006909,0.00044,multiple epidermal growth factor-like domains protein 10
LOC111111671,1,1,2,GO:0006909,0.00044,calpain-1 catalytic subunit-like
LOC111112086,1,2,3,GO:0006909,0.00044,uncharacterized LOC111112086
LOC111112504,1,2,3,GO:0006909,0.00044,uncharacterized LOC111112504
LOC111112757,3,0,3,GO:0006909,0.00044,multiple epidermal growth factor-like domains protein 10
LOC111114709,1,1,2,GO:0006909,0.00044,multiple epidermal growth factor-like domains protein 10
LOC111115120,2,1,3,GO:0006909,0.00044,uncharacterized LOC111115120
LOC111115163,1,1,2,GO:0006909,0.00044,uncharacterized LOC111115163
LOC111115412,1,1,2,GO:0006909,0.00044,uncharacterized LOC111115412
LOC111115507,1,0,1,GO:0006909,0.00044,protein draper-like
LOC111115585,1,1,2,GO:0006909,0.00044,protein draper-like
LOC111117400,1,3,4,GO:0006909,0.00044,protein draper-like
LOC111127906,2,8,10,GO:0006909,0.00044,unconventional myosin-VIIb-like
LOC111133506,1,7,8,GO:0006909,0.00044,uncharacterized LOC111133506
LOC111118684,1,6,7,GO:0031032,0.00047,phosphatase and actin regulator 4B-like
LOC111122954,1,1,2,GO:0031032,0.00047,uncharacterized LOC111122954
LOC111136524,1,8,9,GO:0031032,0.00047,unconventional myosin-XVIIIa-like
NA,NA,NA,NA,GO:1903034,0.00047,NA
LOC111107271,1,1,2,GO:0010644,0.00047,potassium voltage-gated channel subfamily A member 1-like
LOC111101500,1,0,1,GO:0030239,0.00048,multiple epidermal growth factor-like domains protein 10
LOC111108943,1,0,1,GO:0030239,0.00048,cell death abnormality protein 1-like
LOC111111161,1,1,2,GO:0030239,0.00048,multiple epidermal growth factor-like domains protein 10
LOC111112086,1,2,3,GO:0030239,0.00048,uncharacterized LOC111112086
LOC111112504,1,2,3,GO:0030239,0.00048,uncharacterized LOC111112504
LOC111112757,3,0,3,GO:0030239,0.00048,multiple epidermal growth factor-like domains protein 10
LOC111114709,1,1,2,GO:0030239,0.00048,multiple epidermal growth factor-like domains protein 10
LOC111114836,1,3,4,GO:0030239,0.00048,tropomodulin-like
LOC111115120,2,1,3,GO:0030239,0.00048,uncharacterized LOC111115120
LOC111117400,1,3,4,GO:0030239,0.00048,protein draper-like
LOC111133506,1,7,8,GO:0030239,0.00048,uncharacterized LOC111133506
LOC111125634,1,6,7,GO:0055002,0.00048,titin-like
