gene_name,difference,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,GO,p.value,product
LOC111118032,-1,2,1,GO:0007165,5.6e-12,malignant fibrous histiocytoma-amplified sequence 1 homolog
LOC111118174,-1,2,1,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase kappa-like
LOC111119530,-1,10,9,GO:0007165,5.6e-12,uncharacterized LOC111119530
LOC111120008,-1,4,3,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase kappa-like
LOC111120610,-3,5,2,GO:0007165,5.6e-12,receptor-type guanylate cyclase Gyc76C-like
LOC111120796,-2,4,2,GO:0007165,5.6e-12,ras-associating and dilute domain-containing protein-like
LOC111120921,-1,5,4,GO:0007165,5.6e-12,tuberin-like
LOC111121068,-1,7,6,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111121353,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111121353
LOC111121839,-4,15,11,GO:0007165,5.6e-12,5'-AMP-activated protein kinase catalytic subunit alpha-2-like
LOC111121995,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111121995
LOC111122216,-1,2,1,GO:0007165,5.6e-12,ras-associating and dilute domain-containing protein-like
LOC111122336,-2,3,1,GO:0007165,5.6e-12,transient receptor potential cation channel subfamily A member 1-like
LOC111124864,-1,3,2,GO:0007165,5.6e-12,uncharacterized LOC111124864
LOC111125347,-1,5,4,GO:0007165,5.6e-12,myosin-7-like
LOC111125947,-1,2,1,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase kappa-like
LOC111126345,-1,3,2,GO:0007165,5.6e-12,protein Wnt-6-like
LOC111126881,-1,3,2,GO:0007165,5.6e-12,protein Wnt-10b-like
LOC111127975,-1,7,6,GO:0007165,5.6e-12,protein kinase C and casein kinase substrate in neurons protein 2-like
LOC111127981,-1,15,14,GO:0007165,5.6e-12,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform-like
LOC111128821,-2,7,5,GO:0007165,5.6e-12,high affinity cAMP-specific and IBMX-insensitive 3'
LOC111128838,-1,5,4,GO:0007165,5.6e-12,tyrosine-protein kinase JAK2-like
LOC111128883,-2,18,16,GO:0007165,5.6e-12,casein kinase I-like
LOC111128933,-1,8,7,GO:0007165,5.6e-12,high affinity cAMP-specific and IBMX-insensitive 3'
LOC111129252,-1,4,3,GO:0007165,5.6e-12,phospholipid phosphatase 1-like
LOC111129352,-1,6,5,GO:0007165,5.6e-12,endoplasmic reticulum aminopeptidase 1-like
LOC111129899,-1,9,8,GO:0007165,5.6e-12,uncharacterized LOC111129899
LOC111130194,-1,6,5,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111131872,-1,5,4,GO:0007165,5.6e-12,protein kinase C and casein kinase substrate in neurons protein 2-like
LOC111133968,-1,1,0,GO:0007165,5.6e-12,receptor-interacting serine/threonine-protein kinase 4-like
LOC111134509,-1,6,5,GO:0007165,5.6e-12,adenylate cyclase type 2-like
LOC111134998,-3,7,4,GO:0007165,5.6e-12,malignant fibrous histiocytoma-amplified sequence 1 homolog
LOC111135873,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111135873
LOC111136106,-2,10,8,GO:0007165,5.6e-12,rho GTPase-activating protein 39-like
LOC111136801,-1,3,2,GO:0007165,5.6e-12,uncharacterized LOC111136801
LOC111137094,-1,7,6,GO:0007165,5.6e-12,dedicator of cytokinesis protein 1-like
LOC111137522,-1,7,6,GO:0007165,5.6e-12,ras association domain-containing protein 9-like
NA,NA,NA,NA,GO:0048468,1.2e-11,NA
LOC111099899,-1,4,3,GO:0007517,4.0e-11,cell adhesion molecule 2-like
LOC111105684,-5,6,1,GO:0007517,4.0e-11,uncharacterized LOC111105684
LOC111108843,-1,1,0,GO:0007517,4.0e-11,uncharacterized LOC111108843
LOC111119426,-5,12,7,GO:0007517,4.0e-11,collagen alpha-1(XXV) chain-like
LOC111119571,-3,12,9,GO:0007517,4.0e-11,collagen alpha-1(XXV) chain-like
LOC111121353,-1,2,1,GO:0007517,4.0e-11,uncharacterized LOC111121353
LOC111121354,-1,2,1,GO:0007517,4.0e-11,uncharacterized LOC111121354
LOC111124681,-1,2,1,GO:0007517,4.0e-11,hemicentin-1-like
LOC111125347,-1,5,4,GO:0007517,4.0e-11,myosin-7-like
LOC111134633,-1,16,15,GO:0007517,4.0e-11,muscleblind-like protein 3
NA,NA,NA,NA,GO:0032989,4.6e-11,NA
LOC111099230,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111099230
LOC111099956,-1,4,3,GO:0030154,5.9e-11,transmembrane and TPR repeat-containing protein 3-like
LOC111101603,-1,6,5,GO:0030154,5.9e-11,testicular haploid expressed gene protein-like
LOC111103646,-1,7,6,GO:0030154,5.9e-11,proto-oncogene tyrosine-protein kinase ROS-like
LOC111103936,-1,3,2,GO:0030154,5.9e-11,receptor-type tyrosine-protein phosphatase alpha-like
LOC111104627,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111104627
LOC111105622,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111105622
LOC111105795,-1,3,2,GO:0030154,5.9e-11,uncharacterized LOC111105795
LOC111106238,-1,3,2,GO:0030154,5.9e-11,uncharacterized LOC111106238
LOC111107620,-1,4,3,GO:0030154,5.9e-11,cilia- and flagella-associated protein 54-like
LOC111107682,-1,3,2,GO:0030154,5.9e-11,spermatogenesis-associated protein 20-like
LOC111107716,-1,4,3,GO:0030154,5.9e-11,cilia- and flagella-associated protein 54-like
LOC111108381,-1,3,2,GO:0030154,5.9e-11,spermatogenesis-associated protein 20-like
LOC111108843,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111108843
LOC111110011,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111110011
LOC111110614,-1,1,0,GO:0030154,5.9e-11,fibrinogen-like protein 1
LOC111111582,-2,3,1,GO:0030154,5.9e-11,uncharacterized LOC111111582
LOC111112400,-1,6,5,GO:0030154,5.9e-11,extracellular tyrosine-protein kinase PKDCC-like
LOC111113042,-1,7,6,GO:0030154,5.9e-11,ETS homologous factor-like
LOC111114802,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111114802
LOC111115123,-3,9,6,GO:0030154,5.9e-11,one cut domain family member 2-like
LOC111116869,-1,8,7,GO:0030154,5.9e-11,MYCBP-associated protein-like
LOC111116982,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111116982
LOC111117316,-1,2,1,GO:0030154,5.9e-11,fibropellin-1-like
LOC111118261,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111118261
LOC111119326,-1,3,2,GO:0030154,5.9e-11,tubulin polyglutamylase TTLL7-like
LOC111119800,-1,3,2,GO:0030154,5.9e-11,germ cell-less protein-like 1
LOC111119867,-2,5,3,GO:0030154,5.9e-11,protein TBATA-like
LOC111121353,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111121353
LOC111123802,-2,14,12,GO:0030154,5.9e-11,formin-binding protein 1-like
LOC111125347,-1,5,4,GO:0030154,5.9e-11,myosin-7-like
LOC111125764,-3,15,12,GO:0030154,5.9e-11,thioredoxin domain-containing protein 3 homolog
LOC111125767,-1,4,3,GO:0030154,5.9e-11,structural maintenance of chromosomes protein 2-like
LOC111126850,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111126850
LOC111127066,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111127066
LOC111127206,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111127206
LOC111127860,-1,2,1,GO:0030154,5.9e-11,uncharacterized LOC111127860
LOC111128713,-1,3,2,GO:0030154,5.9e-11,uncharacterized LOC111128713
LOC111128878,-1,8,7,GO:0030154,5.9e-11,extracellular tyrosine-protein kinase PKDCC-like
LOC111129693,-1,6,5,GO:0030154,5.9e-11,regulating synaptic membrane exocytosis protein 2-like
LOC111130484,-2,5,3,GO:0030154,5.9e-11,ETS homologous factor-like
LOC111132775,-1,1,0,GO:0030154,5.9e-11,uncharacterized LOC111132775
LOC111135397,-1,2,1,GO:0030154,5.9e-11,sucrose non-fermenting protein kinase 1-like
LOC111136017,-1,13,12,GO:0030154,5.9e-11,tyrosine-protein kinase PR2-like
LOC111136382,-6,15,9,GO:0030154,5.9e-11,uncharacterized LOC111136382
LOC111137262,-2,3,1,GO:0030154,5.9e-11,uncharacterized LOC111137262
LOC111138403,-1,5,4,GO:0030154,5.9e-11,fibrillin-2-like
NA,NA,NA,NA,GO:0048869,7.8e-11,NA
NA,NA,NA,NA,GO:0098609,1.7e-10,NA
NA,NA,NA,NA,GO:0061061,1.8e-10,NA
LOC111101353,-2,6,4,GO:0016192,1.9e-10,uncharacterized LOC111101353
LOC111103244,-1,15,14,GO:0016192,1.9e-10,phosphatidylinositol-binding clathrin assembly protein LAP-like
LOC111105126,-1,1,0,GO:0016192,1.9e-10,uncharacterized LOC111105126
LOC111110231,-1,1,0,GO:0016192,1.9e-10,B-cell receptor-associated protein 31-like
LOC111111058,-1,9,8,GO:0016192,1.9e-10,unconventional myosin-Va-like
LOC111118257,-1,8,7,GO:0016192,1.9e-10,ras-related protein Rab-26-like
LOC111119546,-1,2,1,GO:0016192,1.9e-10,ADP-ribosylation factor-like
LOC111119547,-1,3,2,GO:0016192,1.9e-10,ADP-ribosylation factor 3-like
LOC111120588,-1,3,2,GO:0016192,1.9e-10,jouberin-like
LOC111121901,-1,4,3,GO:0016192,1.9e-10,ADP-ribosylation factor-binding protein GGA1-like
LOC111131301,-1,13,12,GO:0016192,1.9e-10,synaptosomal-associated protein 25-like
LOC111131661,-3,8,5,GO:0016192,1.9e-10,uncharacterized LOC111131661
LOC111134711,-1,4,3,GO:0016192,1.9e-10,synaptobrevin-like
NA,NA,NA,NA,GO:0098657,5.7e-10,NA
LOC111102569,-1,2,1,GO:0034109,7.1e-10,uncharacterized LOC111102569
LOC111105549,-2,3,1,GO:0034109,7.1e-10,uncharacterized LOC111105549
LOC111106420,-1,1,0,GO:0034109,7.1e-10,platelet endothelial aggregation receptor 1-like
LOC111107004,-1,1,0,GO:0034109,7.1e-10,uncharacterized LOC111107004
LOC111111131,-1,3,2,GO:0034109,7.1e-10,multiple epidermal growth factor-like domains protein 6
LOC111111147,-1,1,0,GO:0034109,7.1e-10,multiple epidermal growth factor-like domains protein 10
